check,observed,expected,pass
branch,task/002-stage2b-b3-smoke,task/002-stage2b-b3-smoke,True
HEAD,bb783d66fe3c22fad20968edee8ee5c55e56a9c8,bb783d66fe3c22fad20968edee8ee5c55e56a9c8,True
upstream,origin/task/002-stage2b-b3-smoke,origin/task/002-stage2b-b3-smoke,True
ahead,0,0,True
behind,0,0,True
preexisting_tracked_dirty_count_preserved,7,7,True
preexisting_tracked_dirty_paths_preserved, M fa_h2/fuzhu/load_terminal_loh_lookup_h2.m |  M fa_h2/solve_stage_model_h2.m |  M h2_default_options.m |  M hourly_grid_h2/build_integrated_hourly_stage_model_h2.m |  M hourly_grid_h2/update_integrated_hourly_stage_model_h2.m |  M load_data_h2_near.m |  M terminalLoh_wdro/src/generate_step04CA2_formal_consequences_h2.m,informational,True
task_owned_log_change,M codex_rule/log.md,0 before log update or codex_rule/log.md only,True
untracked_count_preserved,14444,>=14292,True
live_MATLAB_Gurobi_count,0,0,True
MATLAB_Gurobi_records,9668:MATLAB.exe:stopped,stale stopped objects permitted,True
input_hash_identity,15,15,True
