site_id,site_node,site_01,site_02,site_03,site_04
1,24,0,28.2276208210645,28.2276208210645,24.3883468749663
2,14,28.2276208210645,0,8,22.9939521853426
3,18,28.2276208210645,8,0,27.1343920149121
4,31,24.3883468749663,22.9939521853426,27.1343920149121,0
