node,node_x,node_y,P_critical_base_kw,H_node_kg,weight_site_01,weight_site_02,weight_site_03,weight_site_04
1,12,16,0,0,0.808944859215319,0.0709961566173627,0.0709961566173627,0.0490628275499559
2,16,16,10,4.36407277091345,0.808944859215319,0.0709961566173627,0.0709961566173627,0.0490628275499559
3,20,16,9,3.92766549382211,0.843231621004351,0.0528130228511037,0.0528130228511037,0.0511423332934418
4,22,16,12,5.23688732509615,0.707334271044023,0.0985948947747677,0.0985948947747677,0.0954759394064417
5,24,16,6,2.61844366254807,0.520606385315552,0.161500846594233,0.161500846594233,0.156391921495981
6,26,16,6,2.61844366254807,0.337972446446276,0.223027606318896,0.223027606318896,0.215972340915932
7,28,16,20,8.72814554182691,0.192988574903297,0.283429148815848,0.283429148815848,0.240153127465008
8,30,14,20,8.72814554182691,0.0881086565880623,0.40112488905869,0.40112488905869,0.109641565294558
9,32,14,6,2.61844366254807,0.0709359003116694,0.514085583724094,0.322943922250789,0.0920345937134474
10,34,14,6,2.61844366254807,0.0407016750681277,0.656473513693459,0.185299101455346,0.117525709783068
11,36,14,4.5,1.96383274691105,0.0212629253687017,0.763244223467351,0.154096351097593,0.0613965000663549
12,36,12,6,2.61844366254807,0.00990118059223736,0.790975585489166,0.159695216529047,0.0394280173895494
13,36,10,6,2.61844366254807,0.00457311196673371,0.813061724718009,0.164154331135295,0.0182108321799622
14,34,10,12,5.23688732509615,0.00290688100908794,0.822710891164485,0.166102464242389,0.0082797635840375
15,34,8,6,2.61844366254807,0.00535931844610663,0.681544111172185,0.30623750947319,0.0068590609085184
16,32,8,6,2.61844366254807,0.0085817279128678,0.490369626183043,0.490369626183043,0.0106790197210464
17,32,6,6,2.61844366254807,0.0053603367844054,0.306295698473817,0.681673613174667,0.00667035156711077
18,32,4,9,3.92766549382211,0.00292049773867309,0.166880539551267,0.826564723397975,0.00363423931208501
19,18,12,9,3.92766549382211,0.720131076824314,0.123996162178697,0.123996162178697,0.0318765988182926
20,20,10,9,3.92766549382211,0.473533725658285,0.252752653071834,0.252752653071834,0.0209609681980481
21,18,8,9,3.92766549382211,0.473533725658285,0.252752653071834,0.252752653071834,0.0209609681980481
22,14,6,9,3.92766549382211,0.473533725658285,0.252752653071834,0.252752653071834,0.0209609681980481
23,18,20,9,3.92766549382211,0.956470357611984,0.0104761001192604,0.0104761001192604,0.0225774421494948
24,16,22,42,18.3291056378365,0.98553109062174,0.00348217295037765,0.00348217295037765,0.00750456347750492
25,14,24,42,18.3291056378365,0.98553109062174,0.00348217295037765,0.00348217295037765,0.00750456347750493
26,26,18,6,2.61844366254807,0.448019282010271,0.132842930663582,0.132842930663582,0.286294856662566
27,28,20,6,2.61844366254807,0.278817673297226,0.0861966540392582,0.0826726847010023,0.552312987962513
28,30,22,6,2.61844366254807,0.115255502831549,0.110453605243728,0.0665492582922789,0.707741633632444
29,32,24,12,5.23688732509615,0.0463583058540349,0.0444268767110696,0.0267675798072883,0.882447237627607
30,34,26,20,8.72814554182691,0.0162486623205039,0.0155716932345576,0.00938208067385424,0.958797563771084
31,36,26,15,6.54610915637018,0.0074502716866894,0.00984663170346174,0.00430183412196633,0.978401262487883
32,38,28,21,9.16455281891825,0.00728606029869276,0.0298508334983612,0.00602677934255735,0.956836326860389
33,38,24,6,2.61844366254807,0.0218768849038546,0.127468128243318,0.025735371247622,0.824919615605206
