intensity_a,loc,lf,beta_transport_risk,gamma_transport_availability,alpha_loh_activation,notes
1,1,1,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,2,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,3,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,4,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,5,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,6,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,7,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,1,8,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,1,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,2,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,3,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,4,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,5,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,6,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,7,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,2,8,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,1,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,2,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,3,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,4,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,5,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
1,3,6,0.0,1.0,0.0,"v2 full-state parameterized beta; beta is transport friction, not absorbing"
