surplus_bin,N,final_surplus_kg_mean,final_surplus_kg_median,final_surplus_kg_q25,final_surplus_kg_q75,final_surplus_kg_q90,final_surplus_kg_q95,final_surplus_kg_q99,final_surplus_kg_max,final_surplus_mean_bootstrap_ci95_low,final_surplus_mean_bootstrap_ci95_high,mean_first_100pct_target_hour,mean_stable_100pct_target_hour,risk_later_weakened_signal_fraction,location_changed_fraction,mean_HTT_last24h_kg
0-50 kg,32,32.9934932343,37.9858166727,20.2078991226,45.5662028657,46.9019182914,48.2129902467,48.7201089853,48.878648354,28.0866527661,37.6171890867,-24.125,-10.09375,0.03125,1,24.0190677234
50-100 kg,98,79.2832174936,83.2190102672,66.8724026614,92.3554878581,96.5802758139,99.0791089362,99.8616780626,99.8616780626,76.0922971472,82.1776832225,-28.7244897959,-15.4081632653,0.234693877551,1,25.9336000007
100-200 kg,208,149.532120993,151.459137218,123.800777182,175.383740268,189.372131688,192.990655728,199.050349361,199.827870718,145.379581225,153.509315642,-29.1971153846,-20.5576923077,0.4375,1,39.3434494268
>200 kg,312,312.454068438,287.854201876,246.773787307,360.757671975,444.293795994,501.859052957,517.827331232,544.648219915,302.955748438,322.579975059,-35.2275641026,-34.7756410256,0.698717948718,1,53.9250747476
