quantile_level,initial_state_count,legal_high_risk_path_count_total,observed_high_risk_path_count_total,unobserved_high_risk_path_count_total,pareto_path_count_total,observed_pareto_path_count_total,unobserved_pareto_path_count_total,equal_state_mean_unobserved_theoretical_mass,combination_mode,overall_aggregation_mode
0.95,35,7557676,23510,7534166,858,0,858,0.0339067985144852,four_proxy_union,equal_weight_35_initial_states
0.99,35,4529020,7316,4521704,788,0,788,0.0116660600877313,four_proxy_union,equal_weight_35_initial_states
0.995,35,3336850,4310,3332540,764,0,764,0.00706728268575058,four_proxy_union,equal_weight_35_initial_states
