a0,loc0,lfw0,risk_proxy,quantile_level,risk_threshold,legal_high_risk_path_count,observed_high_risk_path_count,unobserved_high_risk_path_count,pareto_path_count,observed_pareto_path_count,unobserved_pareto_path_count,legal_high_risk_theoretical_mass,unobserved_high_risk_theoretical_mass,expanded_path_count,legal_path_count,pareto_objectives
2,1,0,grid_max_wind_mps,0.95,20.7972926228444,404595,608,403987,8,0,8,0.0845871120094673,0.0380578533193314,453228,473928,probability_min_risk_max
2,1,0,grid_max_wind_mps,0.99,28.5462838645292,240376,165,240211,8,0,8,0.0118732472745789,0.0109224194192654,453228,473928,probability_min_risk_max
2,1,0,grid_max_wind_mps,0.995,36.8591512423487,141343,76,141267,8,0,8,0.00508218852226001,0.00485542332758406,453228,473928,probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.95,0,339656,383,339273,19,0,19,0.0285891446401659,0.0258427343539506,453228,473928,probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.99,65.8892634927125,226759,147,226612,19,0,19,0.0105314295795517,0.0099508637976938,453228,473928,probability_min_risk_max
2,1,0,grid_cumulative_excess_mps,0.995,224.944308396354,155913,74,155839,19,0,19,0.00533036879320553,0.00506341148226134,453228,473928,probability_min_risk_max
2,1,0,road_max_wind_mps,0.95,20.7972926228444,404595,608,403987,8,0,8,0.0845871120094673,0.0380578533193314,453228,473928,probability_min_risk_max
2,1,0,road_max_wind_mps,0.99,28.5462838645292,240376,165,240211,8,0,8,0.0118732472745789,0.0109224194192654,453228,473928,probability_min_risk_max
2,1,0,road_max_wind_mps,0.995,36.8591512423487,141343,76,141267,8,0,8,0.00508218852226001,0.00485542332758406,453228,473928,probability_min_risk_max
2,1,0,road_cumulative_excess_mps,0.95,0,219881,134,219747,22,0,22,0.00955551532391049,0.00907336383362264,453228,473928,probability_min_risk_max
2,1,0,road_cumulative_excess_mps,0.99,0,219881,134,219747,22,0,22,0.00955551532391049,0.00907336383362264,453228,473928,probability_min_risk_max
