joint_state_index,a,loc,lfw,x_coord,y_coord,Vmax_mps,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps
1,1,-2,0,-101,-89.9999703886,0,0,0,0,0
2,2,-2,0,-101,-89.9999703886,20.8,10.7530008592873,0,10.7530008592873,0
3,3,-2,0,-101,-89.9999703886,28.55,14.7595276217622,0,14.7595276217622,0
4,4,-2,0,-101,-89.9999703886,37.05,19.1537827806055,0,19.1537827806055,0
5,5,-2,0,-101,-89.9999703886,46.2,23.8840692163016,0,23.8840692163016,0
6,6,-2,0,-101,-89.9999703886,55.5,28.6919013312714,52.4093678648876,28.6919013312714,0
7,1,-1,0,-84,-89.9999703886,0,0,0,0,0
8,2,-1,0,-84,-89.9999703886,20.8,11.2084717209527,0,11.2084717209527,0
9,3,-1,0,-84,-89.9999703886,28.55,15.3847051746731,0,15.3847051746731,0
10,4,-1,0,-84,-89.9999703886,37.05,19.965090252947,0,19.965090252947,0
11,5,-1,0,-84,-89.9999703886,46.2,24.8957400725008,0,24.8957400725008,0
12,6,-1,0,-84,-89.9999703886,55.5,29.9072202169652,87.8758006673957,29.9072202169652,0
13,1,0,0,-67,-89.9999703886,0,0,0,0,0
14,2,0,0,-67,-89.9999703886,20.8,11.5772996195231,0,11.5772996195231,0
15,3,0,0,-67,-89.9999703886,28.55,15.890956929682,0,15.890956929682,0
16,4,0,0,-67,-89.9999703886,37.05,20.6220649472756,0,20.6220649472756,0
17,5,0,0,-67,-89.9999703886,46.2,25.7149635779793,0.956030518028857,25.7149635779793,0
18,6,0,0,-67,-89.9999703886,55.5,30.8913523501699,119.465565301426,30.8913523501699,1.21341328464505
19,1,1,0,-50,-89.9999703886,0,0,0,0,0
20,2,1,0,-50,-89.9999703886,20.8,11.8044638289534,0,11.8044638289534,0
21,3,1,0,-50,-89.9999703886,28.55,16.2027616498374,0,16.2027616498374,0
22,4,1,0,-50,-89.9999703886,37.05,21.0267011953232,0,21.0267011953232,0
23,5,1,0,-50,-89.9999703886,46.2,26.2195302354637,4.57634441572342,26.2195302354637,0
24,6,1,0,-50,-89.9999703886,55.5,31.4974876205246,143.823683173342,31.4974876205246,7.32138837246946
25,1,2,0,-33,-89.9999703886,0,0,0,0,0
26,2,2,0,-33,-89.9999703886,20.8,11.9117250260261,0,11.9117250260261,0
27,3,2,0,-33,-89.9999703886,28.55,16.3499879563964,0,16.3499879563964,0
28,4,2,0,-33,-89.9999703886,37.05,21.217760202609,0,21.217760202609,0
29,5,2,0,-33,-89.9999703886,46.2,26.4577738558849,8.71472742913763,26.4577738558849,0
30,6,2,0,-33,-89.9999703886,55.5,31.7836893723293,157.712081305936,31.7836893723293,14.2093191065057
31,1,3,0,-17,-89.9999703886,0,0,0,0,0
32,2,3,0,-17,-89.9999703886,20.8,12.0032632189915,0,12.0032632189915,0
33,3,3,0,-17,-89.9999703886,28.55,16.4756329279907,0,16.4756329279907,0
34,4,3,0,-17,-89.9999703886,37.05,21.3808126088286,0,21.3808126088286,0
35,5,3,0,-17,-89.9999703886,46.2,26.6610942652599,9.97570271781416,26.6610942652599,0
36,6,3,0,-17,-89.9999703886,55.5,32.027937916059,159.488810310694,32.027937916059,16.3153744593687
37,1,4,0,0,-89.9999703886,0,0,0,0,0
38,2,4,0,0,-89.9999703886,20.8,11.902015243787,0,11.902015243787,0
39,3,4,0,0,-89.9999703886,28.55,16.3366603466403,0,16.3366603466403,0
40,4,4,0,0,-89.9999703886,37.05,21.2004646529955,0,21.2004646529955,0
41,5,4,0,0,-89.9999703886,46.2,26.4362069357191,6.55447452136849,26.4362069357191,0
42,6,4,0,0,-89.9999703886,55.5,31.7577810591431,149.154951975924,31.7577810591431,10.7041255488392
43,1,5,0,17,-89.9999703886,0,0,0,0,0
44,2,5,0,17,-89.9999703886,20.8,11.6173716063276,0,11.6173716063276,0
45,3,5,0,17,-89.9999703886,28.55,15.9459595846468,0,15.9459595846468,0
46,4,5,0,17,-89.9999703886,37.05,20.693443173771,0,20.693443173771,0
47,5,5,0,17,-89.9999703886,46.2,25.803969625593,2.295877962207,25.803969625593,0
