a0,loc0,lfw0,quantile_level,run002_observed_candidate_count,search_observed_candidate_count,missing_run002_count,extra_observed_count,exact_match
2,1,0,0.95,608,608,0,0,1
2,1,0,0.99,178,178,0,0,1
2,1,0,0.995,91,91,0,0,1
2,2,0,0.95,630,630,0,0,1
2,2,0,0.99,159,159,0,0,1
2,2,0,0.995,95,95,0,0,1
2,3,0,0.95,595,595,0,0,1
2,3,0,0.99,219,219,0,0,1
2,3,0,0.995,89,89,0,0,1
2,4,0,0.95,559,559,0,0,1
2,4,0,0.99,168,168,0,0,1
2,4,0,0.995,88,88,0,0,1
2,5,0,0.95,697,697,0,0,1
2,5,0,0.99,169,169,0,0,1
2,5,0,0.995,78,78,0,0,1
2,6,0,0.95,572,572,0,0,1
2,6,0,0.99,169,169,0,0,1
2,6,0,0.995,84,84,0,0,1
2,7,0,0.95,614,614,0,0,1
2,7,0,0.99,176,176,0,0,1
2,7,0,0.995,85,85,0,0,1
3,1,0,0.95,791,791,0,0,1
3,1,0,0.99,176,176,0,0,1
3,1,0,0.995,106,106,0,0,1
3,2,0,0.95,778,778,0,0,1
3,2,0,0.99,172,172,0,0,1
3,2,0,0.995,110,110,0,0,1
3,3,0,0.95,792,792,0,0,1
3,3,0,0.99,180,180,0,0,1
3,3,0,0.995,123,123,0,0,1
3,4,0,0.95,761,761,0,0,1
3,4,0,0.99,181,181,0,0,1
3,4,0,0.995,109,109,0,0,1
3,5,0,0.95,676,676,0,0,1
3,5,0,0.99,182,182,0,0,1
3,5,0,0.995,101,101,0,0,1
3,6,0,0.95,672,672,0,0,1
3,6,0,0.99,206,206,0,0,1
3,6,0,0.995,94,94,0,0,1
3,7,0,0.95,694,694,0,0,1
3,7,0,0.99,193,193,0,0,1
3,7,0,0.995,91,91,0,0,1
4,1,0,0.95,808,808,0,0,1
4,1,0,0.99,249,249,0,0,1
4,1,0,0.995,125,125,0,0,1
4,2,0,0.95,812,812,0,0,1
4,2,0,0.99,230,230,0,0,1
4,2,0,0.995,106,106,0,0,1
4,3,0,0.95,818,818,0,0,1
4,3,0,0.99,244,244,0,0,1
4,3,0,0.995,114,114,0,0,1
4,4,0,0.95,778,778,0,0,1
4,4,0,0.99,219,219,0,0,1
4,4,0,0.995,108,108,0,0,1
4,5,0,0.95,729,729,0,0,1
4,5,0,0.99,275,275,0,0,1
4,5,0,0.995,140,140,0,0,1
4,6,0,0.95,754,754,0,0,1
4,6,0,0.99,291,291,0,0,1
4,6,0,0.995,168,168,0,0,1
4,7,0,0.95,720,720,0,0,1
4,7,0,0.99,231,231,0,0,1
4,7,0,0.995,133,133,0,0,1
5,1,0,0.95,655,655,0,0,1
5,1,0,0.99,283,283,0,0,1
5,1,0,0.995,110,110,0,0,1
5,2,0,0.95,682,682,0,0,1
5,2,0,0.99,276,276,0,0,1
5,2,0,0.995,120,120,0,0,1
5,3,0,0.95,661,661,0,0,1
5,3,0,0.99,249,249,0,0,1
5,3,0,0.995,110,110,0,0,1
5,4,0,0.95,624,624,0,0,1
5,4,0,0.99,206,206,0,0,1
5,4,0,0.995,113,113,0,0,1
5,5,0,0.95,501,501,0,0,1
5,5,0,0.99,163,163,0,0,1
5,5,0,0.995,105,105,0,0,1
5,6,0,0.95,637,637,0,0,1
5,6,0,0.99,153,153,0,0,1
5,6,0,0.995,107,107,0,0,1
5,7,0,0.95,480,480,0,0,1
5,7,0,0.99,203,203,0,0,1
5,7,0,0.995,180,180,0,0,1
6,1,0,0.95,594,594,0,0,1
6,1,0,0.99,225,225,0,0,1
6,1,0,0.995,195,195,0,0,1
6,2,0,0.95,624,624,0,0,1
6,2,0,0.99,250,250,0,0,1
6,2,0,0.995,219,219,0,0,1
6,3,0,0.95,638,638,0,0,1
6,3,0,0.99,257,257,0,0,1
6,3,0,0.995,230,230,0,0,1
6,4,0,0.95,653,653,0,0,1
6,4,0,0.99,230,230,0,0,1
6,4,0,0.995,203,203,0,0,1
6,5,0,0.95,559,559,0,0,1
6,5,0,0.99,162,162,0,0,1
6,5,0,0.995,131,131,0,0,1
6,6,0,0.95,655,655,0,0,1
6,6,0,0.99,224,224,0,0,1
6,6,0,0.995,110,110,0,0,1
6,7,0,0.95,689,689,0,0,1
6,7,0,0.99,168,168,0,0,1
6,7,0,0.995,139,139,0,0,1
