a0,loc0,lfw0,risk_proxy,quantile_level,legal_path_count,full_expanded_path_count,full_candidate_count,pruned_candidate_count,missing_from_pruned_count,extra_in_pruned_count,exact_match
2,1,0,grid_max_wind_mps,0.95,473928,473928,404595,404595,0,0,1
2,1,0,grid_max_wind_mps,0.99,473928,473928,240376,240376,0,0,1
2,1,0,grid_max_wind_mps,0.995,473928,473928,141343,141343,0,0,1
2,1,0,grid_cumulative_excess_mps,0.95,473928,473928,339656,339656,0,0,1
2,1,0,grid_cumulative_excess_mps,0.99,473928,473928,226759,226759,0,0,1
2,1,0,grid_cumulative_excess_mps,0.995,473928,473928,155913,155913,0,0,1
2,1,0,road_max_wind_mps,0.95,473928,473928,404595,404595,0,0,1
2,1,0,road_max_wind_mps,0.99,473928,473928,240376,240376,0,0,1
2,1,0,road_max_wind_mps,0.995,473928,473928,141343,141343,0,0,1
2,1,0,road_cumulative_excess_mps,0.95,473928,473928,219881,219881,0,0,1
2,1,0,road_cumulative_excess_mps,0.99,473928,473928,219881,219881,0,0,1
2,1,0,road_cumulative_excess_mps,0.995,473928,473928,159622,159622,0,0,1
2,4,0,grid_max_wind_mps,0.95,560728,560728,464764,464764,0,0,1
2,4,0,grid_max_wind_mps,0.99,560728,560728,264189,264189,0,0,1
2,4,0,grid_max_wind_mps,0.995,560728,560728,156323,156323,0,0,1
2,4,0,grid_cumulative_excess_mps,0.95,560728,560728,380151,380151,0,0,1
2,4,0,grid_cumulative_excess_mps,0.99,560728,560728,259140,259140,0,0,1
2,4,0,grid_cumulative_excess_mps,0.995,560728,560728,166495,166495,0,0,1
2,4,0,road_max_wind_mps,0.95,560728,560728,464764,464764,0,0,1
2,4,0,road_max_wind_mps,0.99,560728,560728,264189,264189,0,0,1
2,4,0,road_max_wind_mps,0.995,560728,560728,156323,156323,0,0,1
2,4,0,road_cumulative_excess_mps,0.95,560728,560728,241104,241104,0,0,1
2,4,0,road_cumulative_excess_mps,0.99,560728,560728,241104,241104,0,0,1
2,4,0,road_cumulative_excess_mps,0.995,560728,560728,148937,148937,0,0,1
4,1,0,grid_max_wind_mps,0.95,710892,710892,154502,154502,0,0,1
4,1,0,grid_max_wind_mps,0.99,710892,710892,92782,92782,0,0,1
4,1,0,grid_max_wind_mps,0.995,710892,710892,69686,69686,0,0,1
4,1,0,grid_cumulative_excess_mps,0.95,710892,710892,131183,131183,0,0,1
4,1,0,grid_cumulative_excess_mps,0.99,710892,710892,49136,49136,0,0,1
4,1,0,grid_cumulative_excess_mps,0.995,710892,710892,32557,32557,0,0,1
4,1,0,road_max_wind_mps,0.95,710892,710892,154502,154502,0,0,1
4,1,0,road_max_wind_mps,0.99,710892,710892,92782,92782,0,0,1
4,1,0,road_max_wind_mps,0.995,710892,710892,69686,69686,0,0,1
4,1,0,road_cumulative_excess_mps,0.95,710892,710892,140533,140533,0,0,1
4,1,0,road_cumulative_excess_mps,0.99,710892,710892,55536,55536,0,0,1
4,1,0,road_cumulative_excess_mps,0.995,710892,710892,38447,38447,0,0,1
4,4,0,grid_max_wind_mps,0.95,841092,841092,156084,156084,0,0,1
4,4,0,grid_max_wind_mps,0.99,841092,841092,96509,96509,0,0,1
4,4,0,grid_max_wind_mps,0.995,841092,841092,74357,74357,0,0,1
4,4,0,grid_cumulative_excess_mps,0.95,841092,841092,147283,147283,0,0,1
4,4,0,grid_cumulative_excess_mps,0.99,841092,841092,45054,45054,0,0,1
4,4,0,grid_cumulative_excess_mps,0.995,841092,841092,30542,30542,0,0,1
4,4,0,road_max_wind_mps,0.95,841092,841092,156084,156084,0,0,1
4,4,0,road_max_wind_mps,0.99,841092,841092,96509,96509,0,0,1
4,4,0,road_max_wind_mps,0.995,841092,841092,74357,74357,0,0,1
4,4,0,road_cumulative_excess_mps,0.95,841092,841092,160736,160736,0,0,1
4,4,0,road_cumulative_excess_mps,0.99,841092,841092,52704,52704,0,0,1
4,4,0,road_cumulative_excess_mps,0.995,841092,841092,36582,36582,0,0,1
6,4,0,grid_max_wind_mps,0.95,500650,500650,45832,45832,0,0,1
6,4,0,grid_max_wind_mps,0.99,500650,500650,14485,14485,0,0,1
6,4,0,grid_max_wind_mps,0.995,500650,500650,14485,14485,0,0,1
6,4,0,grid_cumulative_excess_mps,0.95,500650,500650,13876,13876,0,0,1
6,4,0,grid_cumulative_excess_mps,0.99,500650,500650,2872,2872,0,0,1
6,4,0,grid_cumulative_excess_mps,0.995,500650,500650,1415,1415,0,0,1
6,4,0,road_max_wind_mps,0.95,500650,500650,45832,45832,0,0,1
6,4,0,road_max_wind_mps,0.99,500650,500650,14485,14485,0,0,1
6,4,0,road_max_wind_mps,0.995,500650,500650,14485,14485,0,0,1
6,4,0,road_cumulative_excess_mps,0.95,500650,500650,15683,15683,0,0,1
6,4,0,road_cumulative_excess_mps,0.99,500650,500650,3125,3125,0,0,1
6,4,0,road_cumulative_excess_mps,0.995,500650,500650,1531,1531,0,0,1
6,7,0,grid_max_wind_mps,0.95,423150,423150,52710,52710,0,0,1
6,7,0,grid_max_wind_mps,0.99,423150,423150,15394,15394,0,0,1
6,7,0,grid_max_wind_mps,0.995,423150,423150,15394,15394,0,0,1
6,7,0,grid_cumulative_excess_mps,0.95,423150,423150,19675,19675,0,0,1
6,7,0,grid_cumulative_excess_mps,0.99,423150,423150,5361,5361,0,0,1
6,7,0,grid_cumulative_excess_mps,0.995,423150,423150,2602,2602,0,0,1
6,7,0,road_max_wind_mps,0.95,423150,423150,52710,52710,0,0,1
6,7,0,road_max_wind_mps,0.99,423150,423150,15394,15394,0,0,1
6,7,0,road_max_wind_mps,0.995,423150,423150,15394,15394,0,0,1
6,7,0,road_cumulative_excess_mps,0.95,423150,423150,23805,23805,0,0,1
6,7,0,road_cumulative_excess_mps,0.99,423150,423150,5963,5963,0,0,1
6,7,0,road_cumulative_excess_mps,0.995,423150,423150,3163,3163,0,0,1
