a0,loc0,lfw0,quantile_level,legal_high_risk_path_count,observed_high_risk_path_count,unobserved_high_risk_path_count,pareto_path_count,observed_pareto_path_count,unobserved_pareto_path_count,unobserved_high_risk_theoretical_mass,legal_path_count,expanded_path_count
5,6,0,0.99,71126,153,70973,25,0,25,0.00717461657043292,639561,510840
5,6,0,0.995,68399,107,68292,25,0,25,0.00592375698019097,639561,510840
5,7,0,0.95,83832,480,83352,20,0,20,0.0189559034899868,583947,450627
5,7,0,0.99,61898,203,61695,20,0,20,0.00993580255120883,583947,450627
5,7,0,0.995,60786,180,60606,20,0,20,0.00936515596735899,583947,450627
6,1,0,0.95,42945,594,42351,23,0,23,0.0281557811200811,423150,304668
6,1,0,0.99,17092,225,16867,11,0,11,0.0108195937338023,423150,304668
6,1,0,0.995,15897,195,15702,9,0,9,0.00911784859801209,423150,304668
6,2,0,0.95,41791,624,41167,28,0,28,0.0276144868626207,463450,327726
6,2,0,0.99,17593,250,17343,15,0,15,0.0117070672205495,463450,327726
6,2,0,0.995,16453,219,16234,13,0,13,0.0100860844999234,463450,327726
6,3,0,0.95,41984,638,41346,21,0,21,0.0259420188336783,489800,335070
6,3,0,0.99,17665,257,17408,12,0,12,0.010290350888322,489800,335070
6,3,0,0.995,16734,230,16504,11,0,11,0.0092590293932497,489800,335070
6,4,0,0.95,49720,653,49067,13,0,13,0.0289175645641237,500650,344919
6,4,0,0.99,16960,230,16730,10,0,10,0.0106453915367146,500650,344919
6,4,0,0.995,15658,203,15455,9,0,9,0.00926375663049574,500650,344919
6,5,0,0.95,43666,559,43107,24,0,24,0.0260641607474042,489800,327528
6,5,0,0.99,15097,162,14935,14,0,14,0.00891841896023254,489800,327528
6,5,0,0.995,13901,131,13770,12,0,12,0.00757428614626746,489800,327528
6,6,0,0.95,62224,655,61569,30,0,30,0.0297892619075802,463450,320292
6,6,0,0.99,25387,224,25163,17,0,17,0.0112785368005156,463450,320292
6,6,0,0.995,12693,110,12583,10,0,10,0.00542328945370564,463450,320292
6,7,0,0.95,55270,689,54581,28,0,28,0.0310214753043511,423150,333282
6,7,0,0.99,18122,168,17954,20,0,20,0.008801872358227,423150,333282
6,7,0,0.995,16648,139,16509,15,0,15,0.00710893060625211,423150,333282
