metric,stage89h,stage89n,change,change_percent
stage1_total_production_kg,120.12,109.98,-10.14,-8.441558441558442
stage1_site1_production_kg,46.8,46.8,0.0,0.0
stage1_site2_production_kg,31.2,23.4,-7.800000000000001,-25.000000000000004
stage1_site3_production_kg,18.72,16.38,-2.34,-12.5
stage1_site4_production_kg,23.4,23.4,0.0,0.0
stage1_end_inventory_kg,247.74748113445145,237.607481134539,-10.139999999912447,-4.092877131779804
stage2_end_inventory_kg,288.280074643083,192.431614557575,-95.84846008550804,-33.2483818745285
stage3_end_inventory_kg,299.4234094655859,179.12676401510396,-120.29664545048195,-40.17609901149302
stage2_production_mean_kg,102.79597668257892,8.858768565898309,-93.93720811668061,-91.38218357197668
stage3_production_mean_kg,56.76226998801927,28.231800282779687,-28.530469705239582,-50.2630879830237
