gate,actual,expected,pass
STAGE85R_RUNNER_MOTHER_RESOLVED,YES,YES,1
SINGLE_INITIAL_STATE_TRAINING,YES,YES,1
INITIAL_LOCATION_LABEL,loc4,loc4,1
INITIAL_LOCATION_INTERNAL_INDEX,81,81,1
MULTILOC_STAGE1_CUTS_USED,NO,NO,1
BACKWARD_PASS_CORE_MODIFIED,NO,NO,1
FORMAL_8H_MAINLINE_USED,YES,YES,1
LEGACY_6H_PATH_USED,NO,NO,1
STAGE89M_STATUS,PASS,PASS,1
STAGE89J_ADOPTED_AS_CURRENT_W,YES,YES,1
STAGE89K_ADOPTED_AS_CURRENT_TERMINALLOH,YES,YES,1
STAGE89K_DRO_TABLE_LOADED,YES,YES,1
ETA,0.03,0.03,1
TANK_CAPACITY,[300 200 100 200],[300 200 100 200],1
PMAX_KW,[300 200 120 150],[300 200 120 150],1
INITIAL_INVENTORY,[58.0445570448695 50.3081379386248 25.2621334423093 33.0235808462428],[58.0445570448695 50.3081379386248 25.2621334423093 33.0235808462428],1
ORDINARY_SHORTAGE_PENALTY,200,200,1
TERMINAL_GAP_PENALTY,1000,1000,1
TRAINING_ITERATIONS,10,10,1
WARM_START,NONE,NONE,1
TERMINAL_TABLE_SHA256,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8,1
