"path","size_bytes","mtime","sha256","role","tracked_or_untracked"
"hourly_grid_h2/run_stage85r_dro_p150_p200_5h_10k_h2.m","33642","2026-08-17 03:57:38 +08:00","fc342a2095c5bffc5490e61ebfbceb40a97c181088c6f9eb6decc03ba3219bcb","Stage85R accepted runner mother","untracked"
"hourly_grid_h2/orchestrate_stage85r_dro_p150_p200_5h_10k.ps1","3947","2026-08-17 03:56:55 +08:00","3c965e98f312263c644a2dc8a5e10b205bb017ad6e60717566318cd2008812bf","Stage85R accepted orchestrator mother","untracked"
"hourly_grid_h2/run_stage85h_a_checkpoint_reload_audit_h2.m","6457","2026-08-15 18:02:15 +08:00","922b38fdbbede0a5595c66933ff2438835746671af36d37cfe924d3bf2ca351f","Stage85H-A clean reload implementation","untracked"
"fa_msp/current_hourly_stage88_candidate/input/load_current_hourly_stage88_candidate_h2.m","2970","2026-08-20 18:41:17 +08:00","bdcae0d6454a9334887a4f0d9f517189cadcc0ea5716aeb8d19fb5679fd11068","Stage89F current model entry","untracked"
"fa_msp/current_hourly_stage88_candidate/config/current_hourly_stage88_candidate_options_h2.m","700","2026-08-20 18:41:17 +08:00","694ce6d50fcbfc45cc327dae231bbe3f736b1b369bbd57562f741c2adf651827","Stage89F current options","untracked"
"fa_h2/fuzhu/load_terminal_loh_lookup_h2.m","8994","2026-08-20 17:07:39 +08:00","f0d5857edf2410d50133cd7612ae6ceb3875b68c19fc1c5dc9c07f09c6746083","Stage88 loader","tracked"
"fa_h2/forward_pass_h2.m","1856","2026-05-12 10:25:14 +08:00","096a35bf429a833e75a564837fa61bc814087bd999d565eac333441ffe1bda9d","reused forward core","tracked"
"fa_h2/backward_pass_h2.m","2557","2026-08-13 17:43:56 +08:00","ea4682363668aa7e3cc1269bb1bced4ad1bc1b4842377fee2a7540f45d8c655a","reused backward core","tracked"
"terminalLoh_wdro/current_w_mainline_stage89/msp_bridge/load_current_stage89_hourly_h2.m","3176","2026-08-23 10:03:12 +08:00","f0adb6eebc528bec4a8ee1b366ef4a045d0c447eba59f450e850f540e46dd510","Stage89M adopted model/input entry","tracked"
"terminalLoh_wdro/current_w_mainline_stage89/msp_bridge/load_stage89_adopted_terminal_loh_h2.m","5441","2026-08-23 10:03:11 +08:00","b9ec5a926e06b6fec06cbef0ab5f956b95b8ca449d8147f6a828cbacd2d1ee4b","Stage89K strict adopted loader","tracked"
"terminalLoh_wdro/current_w_mainline_stage89/terminal_tables/terminal_loh_stage89k_dro_eta003_adopted.csv","5295","2026-08-23 10:01:38 +08:00","2fa1958944110701239a109ebf46d959324a351f2f27c1c3fbd62f333066eaa8","Stage89K adopted DRO table","tracked"
"fa_msp/current_hourly_stage89_adopted/launcher/run_stage89n_stage85r_single_loc4_gap1000_h2.m","34303","2026-08-23 13:50:58 +08:00","6b52e4892c6518c21196cb948ca1c4a839a3e13bd10eae9fd68dd2126d1d48ab","Stage89N thin launcher","untracked"
"fa_msp/current_hourly_stage89_adopted/launcher/orchestrate_stage89n_stage85r_single_loc4_gap1000.ps1","7169","2026-08-23 13:15:38 +08:00","00bcd02c4f54cda67c4a160a442d8594ce364f7975359f6f5030c063682269ed","Stage89N thin orchestrator","untracked"
"fa_msp/current_hourly_stage89_adopted/launcher/finalize_stage89n_single_loc4.py","18835","2026-08-23 14:43:50 +08:00","2a215ef676453c3dec2d8157db3dca95f3a585a444c8fe3c4d7834dcea139dcf","Stage89N finalizer including integrated mechanism judgment","untracked"
"fa_msp/current_hourly_stage89_adopted/launcher/stage85r_stage89n_adapter_diff.md","2380","2026-08-23 13:50:59 +08:00","46f3eff6b0c3f282453c63f9275f4c088548dbb0a42ba76a059d466088f1b530","adapter diff audit","untracked"
"results/task-002-stage2b-b3-smoke/89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000/run-003/oos/loc4/oos_path_bank.mat","108009","2026-08-21 09:50:01 +08:00","6bf3d1190a402ded052b8d3d08ed369042236e151f562bdd9fd4db7b8ff386c6","Stage89H accepted common OOS bank","untracked"
"terminalLoh_wdro/output/stage89n_stage89k_adopted_loc4_fresh_8h_retraining/run-003/checkpoint_final.mat","305031307","2026-08-23 14:03:48 +08:00","bd112bf67018f94e13ad24e6e876494f9d06042f4630024e377192ed22262cdf","Stage89N external large checkpoint; source HEAD 0da3c52526286050908e7e41d64cba1a399b103d; training seed 20260513","untracked-large-output"
