gate,observed,pass
FORMAL_8H_MAINLINE_USED,YES,True
LEGACY_6H_PATH_USED,NO,True
OPERATING_STAGE_COUNT,6,True
HOURS_PER_OPERATING_STAGE,"[8,8,8,8,8,8]",True
TOTAL_OPERATING_HOURS,48,True
STAGE1_THEORETICAL_MAX_KG,120.12,True
LEGACY_90P09_SENTINEL_TRIGGERED,NO,True
