decision_stage,history_node_id,current_k,current_a,current_loc,current_lf,node_oos_path_count,future_terminal_state_id,future_outcome_kind,outcome_path_count,outcome_frequency,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,target_top_site,target_ranking
1,t1_k65,65,2,2,1,10000,0,no_terminal_event,3947,0.3947,0,0,0,0,0,0,zero_target
1,t1_k65,65,2,2,1,10000,1,terminal_state,354,0.0354,63.6167837525965,13.0921331708544,4.909665412351,30.5481142906031,112.166696626405,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,2,terminal_state,681,0.0681,58.9150686076349,27.0027363942657,8.1826619672842,16.3652543612975,110.465721330482,1,1>2>4>3
1,t1_k65,65,2,2,1,10000,3,terminal_state,706,0.0706,69.666481390842,9.81885571292145,0,0,79.4853371037635,1,1>2>3>4
1,t1_k65,65,2,2,1,10000,4,terminal_state,716,0.0716,33.2760597503793,13.0922205927513,4.90957965375079,16.3652705877819,67.6431305846633,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,5,terminal_state,644,0.0644,30.2757519474911,0,0,0,30.2757519474911,1,1>2>3>4
1,t1_k65,65,2,2,1,10000,6,terminal_state,445,0.0445,0,0,0.71367875842609,0,0.71367875842609,3,3>1>2>4
1,t1_k65,65,2,2,1,10000,7,terminal_state,1023,0.1023,0,0,0,0,0,0,zero_target
1,t1_k65,65,2,2,1,10000,8,terminal_state,81,0.0081,195.980588261073,97.5192645430117,16.3652728831405,95.4481399001905,405.313265587416,1,1>2>4>3
1,t1_k65,65,2,2,1,10000,9,terminal_state,133,0.0133,181.109015453749,85.6457634485623,28.3643588926193,110.194137130854,405.313274925785,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,10,terminal_state,131,0.0131,207.714537766758,86.042681642297,27.2746757992166,84.2813634386846,405.313258646956,1,1>2>4>3
1,t1_k65,65,2,2,1,10000,11,terminal_state,139,0.0139,202.228721913838,73.7990228568447,24.5479067527522,95.4648007624855,396.04045228592,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,12,terminal_state,117,0.0117,234.531627132872,39.2765472048076,16.3652905806895,92.1910086220283,382.364473540397,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,13,terminal_state,89,0.0089,183.83696804374,85.3716494567399,16.3652799793359,69.5525548649856,355.126452344801,1,1>2>4>3
1,t1_k65,65,2,2,1,10000,14,terminal_state,188,0.0188,204.293031921316,32.7305207407448,9.81917939576067,52.6417371664842,299.484469224306,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,15,terminal_state,34,0.0034,242.490845037318,142.378525477599,51.2780073639153,150,586.147377878832,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,16,terminal_state,78,0.0078,245.768350802666,136.921371377604,52.3694238524147,150,585.059146032685,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,17,terminal_state,78,0.0078,242.495486475516,141.285253689067,44.7316160596879,150,578.512356224272,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,18,terminal_state,55,0.0055,252.702273520957,124.532268421669,44.7317455611508,150,571.966287503776,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,19,terminal_state,44,0.0044,231.297621603105,121.918688071935,50.0952851168181,139.650041540419,542.961636332278,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,20,terminal_state,37,0.0037,232.932859424932,100.1863762794,36.54780138014,122.192673667446,491.859710751919,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,21,terminal_state,124,0.0124,215.20334957964,93.221622471828,24.547901451242,101.525074402858,434.497947905568,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,22,terminal_state,9,0.0009,264.325715491973,144.555682281606,51.2754324636032,150,610.156830237183,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,23,terminal_state,20,0.002,277.406850906388,141.287090282329,61.0968533805147,150,629.790794569232,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,24,terminal_state,28,0.0028,278.513576350821,136.906705367182,61.1125785326699,150,626.532860250673,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,25,terminal_state,24,0.0024,276.300390904299,141.809518632341,54.0207737598781,150,622.130683296519,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,26,terminal_state,22,0.0022,271.194922361943,137.134215078136,49.6407679003528,150,607.969905340432,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,27,terminal_state,9,0.0009,271.951288207453,131.468495838033,54.5501038750447,150,607.969887920531,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,28,terminal_state,40,0.004,266.387722760742,113.46575234314,52.9143765828423,149.154677546133,581.922529232857,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,31,terminal_state,1,0.0001,300,143.241140516995,83.7691237697975,150,677.010264286793,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,33,terminal_state,1,0.0001,300,133.421984648734,73.6444866111792,150,657.066471259913,1,1>4>2>3
1,t1_k65,65,2,2,1,10000,35,terminal_state,2,0.0002,300,106.980914137021,50.9889763636863,150,607.969890500707,1,1>4>2>3
2,t2_k100,100,2,6,4,22,0,no_terminal_event,10,0.454545454545455,0,0,0,0,0,0,zero_target
2,t2_k100,100,2,6,4,22,1,terminal_state,1,0.0454545454545455,63.6167837525965,13.0921331708544,4.909665412351,30.5481142906031,112.166696626405,1,1>4>2>3
2,t2_k100,100,2,6,4,22,2,terminal_state,2,0.0909090909090909,58.9150686076349,27.0027363942657,8.1826619672842,16.3652543612975,110.465721330482,1,1>2>4>3
2,t2_k100,100,2,6,4,22,3,terminal_state,3,0.136363636363636,69.666481390842,9.81885571292145,0,0,79.4853371037635,1,1>2>3>4
2,t2_k100,100,2,6,4,22,4,terminal_state,1,0.0454545454545455,33.2760597503793,13.0922205927513,4.90957965375079,16.3652705877819,67.6431305846633,1,1>4>2>3
2,t2_k100,100,2,6,4,22,5,terminal_state,1,0.0454545454545455,30.2757519474911,0,0,0,30.2757519474911,1,1>2>3>4
2,t2_k100,100,2,6,4,22,7,terminal_state,2,0.0909090909090909,0,0,0,0,0,0,zero_target
2,t2_k100,100,2,6,4,22,10,terminal_state,1,0.0454545454545455,207.714537766758,86.042681642297,27.2746757992166,84.2813634386846,405.313258646956,1,1>2>4>3
2,t2_k100,100,2,6,4,22,13,terminal_state,1,0.0454545454545455,183.83696804374,85.3716494567399,16.3652799793359,69.5525548649856,355.126452344801,1,1>2>4>3
2,t2_k106,106,2,7,2,126,0,no_terminal_event,42,0.333333333333333,0,0,0,0,0,0,zero_target
2,t2_k106,106,2,7,2,126,2,terminal_state,6,0.0476190476190476,58.9150686076349,27.0027363942657,8.1826619672842,16.3652543612975,110.465721330482,1,1>2>4>3
2,t2_k106,106,2,7,2,126,3,terminal_state,8,0.0634920634920635,69.666481390842,9.81885571292145,0,0,79.4853371037635,1,1>2>3>4
2,t2_k106,106,2,7,2,126,4,terminal_state,9,0.0714285714285714,33.2760597503793,13.0922205927513,4.90957965375079,16.3652705877819,67.6431305846633,1,1>4>2>3
2,t2_k106,106,2,7,2,126,5,terminal_state,8,0.0634920634920635,30.2757519474911,0,0,0,30.2757519474911,1,1>2>3>4
2,t2_k106,106,2,7,2,126,6,terminal_state,12,0.0952380952380952,0,0,0.71367875842609,0,0.71367875842609,3,3>1>2>4
2,t2_k106,106,2,7,2,126,7,terminal_state,21,0.166666666666667,0,0,0,0,0,0,zero_target
2,t2_k106,106,2,7,2,126,9,terminal_state,1,0.00793650793650794,181.109015453749,85.6457634485623,28.3643588926193,110.194137130854,405.313274925785,1,1>4>2>3
2,t2_k106,106,2,7,2,126,11,terminal_state,4,0.0317460317460317,202.228721913838,73.7990228568447,24.5479067527522,95.4648007624855,396.04045228592,1,1>4>2>3
2,t2_k106,106,2,7,2,126,12,terminal_state,3,0.0238095238095238,234.531627132872,39.2765472048076,16.3652905806895,92.1910086220283,382.364473540397,1,1>4>2>3
2,t2_k106,106,2,7,2,126,13,terminal_state,1,0.00793650793650794,183.83696804374,85.3716494567399,16.3652799793359,69.5525548649856,355.126452344801,1,1>2>4>3
2,t2_k106,106,2,7,2,126,14,terminal_state,6,0.0476190476190476,204.293031921316,32.7305207407448,9.81917939576067,52.6417371664842,299.484469224306,1,1>4>2>3
2,t2_k106,106,2,7,2,126,15,terminal_state,1,0.00793650793650794,242.490845037318,142.378525477599,51.2780073639153,150,586.147377878832,1,1>4>2>3
