decision_stage,history_node_id,current_k,current_a,current_loc,current_lf,node_oos_path_count,site,unconditional_target_mean_kg,unconditional_target_min_kg,unconditional_target_max_kg,unconditional_target_std_kg,unconditional_target_range_kg,conditional_terminal_target_mean_kg,conditional_terminal_target_min_kg,conditional_terminal_target_max_kg,conditional_terminal_target_std_kg,conditional_terminal_target_range_kg
1,t1_k65,65,2,2,1,10000,1,48.0975122450299,0,300,76.2497608011509,300,79.4606182802411,0,300,84.3389925405136,300
1,t1_k65,65,2,2,1,10000,2,17.3110038021167,0,144.555682281606,34.1457925851699,144.555682281606,28.5990480788315,0,144.555682281606,40.0422660778932,144.555682281606
1,t1_k65,65,2,2,1,10000,3,5.54717650119446,0,83.7691237697975,11.9778143451914,83.7691237697975,9.16434247677921,0,83.7691237697975,14.2783322610843,83.7691237697975
1,t1_k65,65,2,2,1,10000,4,19.0618088966878,0,150,39.074510567086,150,31.4915065202177,0,150,46.1625865467514,150
2,t2_k100,100,2,6,4,22,1,38.4340764840346,0,207.714537766758,57.2143806759626,207.714537766758,70.4624735540634,0,207.714537766758,61.1930530211803,207.714537766758
2,t2_k100,100,2,6,4,22,2,12.7754874904517,0,86.042681642297,24.486832584671,86.042681642297,23.4217270658282,0,86.042681642297,29.153429657176,86.042681642297
2,t2_k100,100,2,6,4,22,3,3.17384203541922,0,27.2746757992166,6.64775771317052,27.2746757992166,5.81871039826856,0,27.2746757992166,8.10124651389547,27.2746757992166
2,t2_k100,100,2,6,4,22,4,10.6126278138477,0,84.2813634386846,22.5627865980668,84.2813634386846,19.4564843253875,0,84.2813634386846,27.5906101062555,84.2813634386846
2,t2_k106,106,2,7,2,126,1,45.0406767901951,0,242.490845037318,75.4978028072188,242.490845037318,67.5610151852926,0,242.490845037318,83.8354365336485,242.490845037318
2,t2_k106,106,2,7,2,126,2,13.3554412758755,0,142.378525477599,27.151173421464,142.378525477599,20.0331619138133,0,142.378525477599,31.176970162102,142.378525477599
2,t2_k106,106,2,7,2,126,3,4.18885352875104,0,51.2780073639153,9.00855827568158,51.2780073639153,6.28328029312657,0,51.2780073639153,10.4197558942391,51.2780073639153
2,t2_k106,106,2,7,2,126,4,15.8232823025205,0,150,33.4465879421839,150,23.7349234537808,0,150,38.603486505009,150
2,t2_k107,107,2,7,3,72,1,29.8694637378617,0,232.932859424932,56.2366278608217,232.932859424932,43.8898242678785,0,232.932859424932,63.4954588952128,232.932859424932
