scope,lf,path_stage_observation_count,unique_history_node_count,unique_path_count,mean_node_oos_path_count,mean_future_outcome_count_including_no_terminal,mean_future_terminal_state_count,mean_terminal_hit_probability,mean_positive_target_probability,mean_max_future_outcome_probability,mean_realized_terminal_state_probability,exact_target_vector_observation_share,conditional_terminal_target_vector_exact_observation_share,mean_conditional_modal_top_site_probability,conditional_top_site_certain_observation_share,mean_positive_target_modal_top_site_probability,positive_target_top_site_certain_observation_share,mean_conditional_target_std_l2_kg,mean_conditional_max_site_target_range_kg
all_active_oos_paths,1,10000,1,10000,10000,32,31,0.605300000000108,0.502999999999997,0.394699999999926,0.189949960000003,0,0,0.757475631918153,0,0.911530815109341,0,105.125182065205,300
all_active_oos_paths,2,5301,14,5301,871.383701188455,26.1969439728353,25.1999622712696,0.657989058668189,0.547066591209226,0.343520090548949,0.165504114409314,0,0,0.753887916512916,0,0.909884695577121,0.0139596302584418,99.1640649007093,278.704362524377
all_active_oos_paths,3,5612,35,5612,396.870990734141,21.9007483962937,20.9158945117605,0.706699928724146,0.583036350677139,0.299180327868856,0.148014969692618,0.000356379187455453,0.000356379187455453,0.742809009442436,0.0160370634354954,0.903638663837442,0.0436564504632929,91.3316300155238,273.746347188778
all_active_oos_paths,4,5351,61,5351,256.347785460662,18.2184638385349,17.2451878153616,0.765464399177709,0.63427396748272,0.248925434498221,0.137092521789053,0.000560642870491497,0.000560642870491497,0.751772333651874,0.0384974771070828,0.90800135252701,0.0618575967108952,81.706138007629,253.72396762545
all_active_oos_paths,5,4879,77,4879,204.72043451527,15.4927239188358,14.5175240828039,0.774953883992622,0.641319942611186,0.250871080139369,0.146638444561342,0.00122976019676163,0.00102480016396803,0.747451888678458,0.0666120106579217,0.896312949630896,0.124205779872925,73.0186474814471,236.440641416088
all_active_oos_paths,6,4585,101,4585,155.936968375136,11.6039258451472,10.8172300981461,0.919738276990184,0.764231188658668,0.286368593238823,0.182498372578767,0.00283533260632497,0.00283533260632497,0.757645754194896,0.129334787350055,0.892938802567906,0.187350054525627,58.5646803871131,211.56348930894
state12_physical_feasible_actual_unmet,1,68,1,68,10000,32,31,0.6053,0.503,0.3947,0.0117,0,0,0.757475631918057,0,0.911530815109344,0,105.125182065221,300
state12_physical_feasible_actual_unmet,2,48,10,48,855.416666666667,25.5625,24.5833333333333,0.657014377217988,0.54275315551447,0.347393880814141,0.0159702219096304,0,0,0.745887984885037,0,0.90569348688956,0.0208333333333333,99.2529506906509,277.088258485548
state12_physical_feasible_actual_unmet,3,35,17,35,340.828571428571,21.7714285714286,20.8,0.728275247311355,0.600106891098594,0.286316922062598,0.0258883252378236,0,0,0.746738024242621,0,0.910092689986672,0.0857142857142857,95.4607377759768,277.960542364748
state12_physical_feasible_actual_unmet,4,50,22,50,231.06,18.46,17.52,0.782798416051639,0.644873295753804,0.233572212392278,0.0277691543170833,0,0,0.746149744405269,0.04,0.909646248793824,0.04,88.1919475968941,255.995744557873
state12_physical_feasible_actual_unmet,5,48,25,48,186.875,16.3958333333333,15.3958333333333,0.795379732742644,0.679465248972983,0.222367267678912,0.0394279573653427,0,0,0.783690361292365,0.0625,0.916401346287165,0.208333333333333,80.2293847599181,248.204275127994
state12_physical_feasible_actual_unmet,6,45,18,45,162.977777777778,12.4666666666667,11.8666666666667,0.936378288610773,0.745164618502345,0.301036229938689,0.051926023979694,0,0,0.738869297106961,0.0666666666666667,0.900620896916355,0.222222222222222,71.007506745368,233.876046920729
state13_physical_feasible_actual_unmet,1,11,1,11,10000,32,31,0.6053,0.503,0.3947,0.0089,0,0,0.757475631918057,0,0.911530815109344,0,105.125182065221,300
state13_physical_feasible_actual_unmet,2,4,2,4,1120.5,28.5,27.5,0.635296466280036,0.524436790695048,0.364703533719964,0.00833299724948982,0,0,0.761834133236319,0,0.923090131022823,0,99.2182641847778,278.513576350821
state13_physical_feasible_actual_unmet,3,5,4,5,461.8,22,21,0.694637515788,0.545605378019171,0.305362484212,0.0137257132871307,0,0,0.699716195116925,0,0.891880283954007,0,89.224669630098,279.219417306915
state13_physical_feasible_actual_unmet,4,10,9,10,279.4,18.1,17.2,0.785041137394461,0.655257219789378,0.230038227684905,0.0217144409064889,0,0,0.754104678438463,0.1,0.904359248219086,0.1,78.7429988042762,244.276578570722
state13_physical_feasible_actual_unmet,5,8,7,8,217,14.875,13.875,0.772267295611278,0.619984434843279,0.235682609911314,0.0207032719292362,0,0,0.706035294371919,0,0.874767507411621,0.125,72.488433555204,244.282067816777
