tier,N,mean_target_kg,mean_final_inventory_kg,mean_gap_kg,mean_adequate_surplus_kg,mean_production_kg,mean_final16h_production_kg,mean_HTT_kg,ordinary_shortage_probability,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan,mean_arrival_after_stage,mean_terminal_a,terminal_loc_mode,site1_deficit_probability,site2_deficit_probability,site3_deficit_probability,site4_deficit_probability,electrolyzer_binding_fraction_final16h,voltage_binding_fraction_final16h,gap_contribution_fraction_of_stage7_expected_gap
normal95,5817,24.335642006,190.429130885,0.207099713742,169.331573089,221.274446866,81.2400508777,9.92695830242,0.0648100395393,2.20895450857,67281.788859,4.2238267148,2.26886711363,7,0.0075640364449,0.00584493725288,0.0149561629706,0.0115179645866,0.31797425649,0.020478769125,0.0558033780077
difficult4,245,353.635385264,331.145227677,47.8405788407,,353.695141788,171.077328874,42.2228070423,0.412244897959,19.5683653645,79607.749952,4.40816326531,3.92653061224,2,0.579591836735,0.49387755102,0.644897959184,0.775510204082,0.688073979592,0.104591836735,0.542930746891
extreme1,62,452.914525685,314.779416528,139.720010978,,318.760398936,182.461560608,33.7866315478,0.725806451613,26.8629575372,75368.3654764,4.1935483871,4.38709677419,4,1,0.870967741935,0.951612903226,0.983870967742,0.741935483871,0.09375,0.401265875101
