removed_site,candidate,saved_kW,retained_events,retained_event_loss_vs_ALL,retained_unique_path_loss_vs_ALL,tail_event_loss_vs_ALL,bus18_loss_change_vs_ALL
1,B0111,75,73,31,25,31,-4
2,B1011,50,85,19,17,19,-3
3,B1101,30,97,7,7,7,-6
4,B1110,37.5,84,20,18,20,-2
