candidate,Pmax1_kW,Pmax2_kW,Pmax3_kW,Pmax4_kW,added_kW,H2_recovered_events,H2_unique_paths,grid_aware_retained_events,grid_aware_unique_paths,overall_retention,retained_-16,retained_-8,retained_-4,pure_quantity_retained,mixed_retained,pure_location_retained,difficult4_retained,extreme1_retained,grid_loss_events,bus18_loss_events,not_identifiable_events,retained_events_per_added_kW,expanded_site_count,site
B1000,375,200,120,150,75,60,50,55,48,0.916666666667,36,15,4,19,36,0,44,11,5,5,0,0.733333333333,1,1
B0100,300,250,120,150,50,50,44,45,42,0.9,31,11,3,14,31,0,38,7,5,5,0,0.9,1,2
B0010,300,200,150,150,30,38,37,18,17,0.473684210526,13,4,1,6,12,0,12,6,20,20,0,0.6,1,3
B0001,300,200,120,187.5,37.5,48,44,39,38,0.8125,27,9,3,12,27,0,33,6,9,9,0,1.04,1,4
