site,without_candidate,with_candidate,additional_kW,additional_retained_events,additional_unique_paths,additional_tail_events,additional_bus18_losses,marginal_retained_events_per_kW
1,B0000,B1000,75,55,48,55,5,0.733333333333
1,B0100,B1100,75,33,26,32,6,0.44
1,B0010,B1010,75,53,45,52,-13,0.706666666667
1,B0001,B1001,75,33,25,32,0,0.44
1,B0110,B1110,75,32,27,31,3,0.426666666667
1,B0101,B1101,75,40,33,39,2,0.533333333333
1,B0011,B1011,75,40,33,39,2,0.533333333333
1,B0111,B1111,75,31,25,31,4,0.413333333333
2,B0000,B0100,50,45,42,45,5,0.9
2,B1000,B1100,50,23,20,22,6,0.46
2,B0010,B0110,50,34,27,34,-11,0.68
2,B0001,B0101,50,18,11,18,-3,0.36
2,B1010,B1110,50,13,9,13,5,0.26
2,B1001,B1101,50,25,19,25,-1,0.5
2,B0011,B0111,50,28,25,27,1,0.56
2,B1011,B1111,50,19,17,19,3,0.38
3,B0000,B0010,30,18,17,18,20,0.6
3,B1000,B1010,30,16,14,15,2,0.533333333333
3,B0100,B0110,30,7,2,7,4,0.233333333333
3,B0001,B0011,30,6,1,6,0,0.2
3,B1100,B1110,30,6,3,6,1,0.2
3,B1001,B1011,30,13,9,13,2,0.433333333333
3,B0101,B0111,30,16,15,15,4,0.533333333333
3,B1101,B1111,30,7,7,7,6,0.233333333333
4,B0000,B0001,37.5,39,38,39,9,1.04
4,B1000,B1001,37.5,17,15,16,4,0.453333333333
4,B0100,B0101,37.5,12,7,12,1,0.32
4,B0010,B0011,37.5,27,22,27,-11,0.72
4,B1100,B1101,37.5,19,14,19,-3,0.506666666667
4,B1010,B1011,37.5,14,10,14,4,0.373333333333
4,B0110,B0111,37.5,21,20,20,1,0.56
4,B1110,B1111,37.5,20,18,20,2,0.533333333333
