method,method_label,path_count,stationwise_gap_positive_count,aggregate_net_shortfall_positive_count,stationwise_gap_exceeds_aggregate_count,mean_stationwise_minus_aggregate_gap_kg,max_stationwise_minus_aggregate_gap_kg,formal_definition
chi2_eta003,DRO_eta_0.03,6053,900,617,501,0.8611911065984741,57.80571981989499,"sum_i max(0,T_i-I_i); aggregate net shortfall is audit-only and never substituted"
saa,SAA,6053,714,512,385,0.4308781388267966,61.01855477890601,"sum_i max(0,T_i-I_i); aggregate net shortfall is audit-only and never substituted"
