method,method_label,target_mean_error_kg,actual_inventory_mean_error_kg,terminal_gap_mean_error_kg,gap_positive_share_error
saa,SAA,4.263256414560601e-14,2.8421709430404007e-13,1.9451107391432743e-13,2.498001805406602e-16
chi2_eta003,DRO_eta_0.03,1.9895196601282805e-13,1.7053025658242404e-13,5.906386491005833e-13,1.6653345369377348e-16
