preparation_stage_count,paired_path_count,saa_target_mean_kg,dro_target_mean_kg,dro_minus_saa_target_mean_kg,saa_actual_inventory_mean_kg,dro_actual_inventory_mean_kg,dro_minus_saa_actual_inventory_mean_kg,saa_terminal_gap_mean_kg,dro_terminal_gap_mean_kg,dro_minus_saa_terminal_gap_mean_kg,saa_gap_positive_count,dro_gap_positive_count,saa_gap_positive_share,dro_gap_positive_share,dro_minus_saa_gap_positive_share
2,79,26.415760103052868,95.20614257874517,68.79038247569225,283.51598173107607,283.51598173107595,3.0940088747022085e-14,5.1724972112397305,7.843298352539976,2.6708011413002457,6,6,0.0759493670886076,0.0759493670886076,0.0
3,1144,62.92844935319977,119.61814992233552,56.68970056913516,320.94951136362005,326.71340403652744,5.763892672907086,7.967183434028125,11.647662052147165,3.6804786181190368,123,175,0.10751748251748251,0.15297202797202797,0.045454545454545456
4,2557,94.56333730219497,144.67432927093355,50.11099196873983,372.67631168473497,391.2534330406533,18.577121355915246,7.12186455561721,9.341458049273262,2.2195934936560526,320,426,0.12514665623777865,0.16660148611654282,0.04145482987876417
5,1855,115.08703847596239,163.22159420051472,48.13455572455326,418.8408857375476,449.7395524547059,30.898666717158225,3.7553821689847724,4.722645252328154,0.9672630833433764,203,238,0.10943396226415095,0.12830188679245283,0.018867924528301883
6,418,154.3944835979901,198.80920690837428,44.414723310384296,435.9374627447904,469.30395790314896,33.366495158358894,2.59709384980968,2.534582189357346,-0.06251166045233357,62,55,0.14832535885167464,0.13157894736842105,-0.016746411483253593
