dataset_role,initial_state_id,a0,loc0,lfw0,seed_group,base_joint_seed,metric,frozen_value,step3i_value,absolute_difference,passed
nominal,1,2,1,0,1,20260723,D_mean_kg,3.09807344370801,3.09807344370801,2.66453525910038e-15,1
nominal,1,2,1,0,1,20260723,D_q95_kg,0,0,0,1
nominal,1,2,1,0,1,20260723,D_q99_kg,125.19433761558,125.19433761558,2.8421709430404e-13,1
nominal,1,2,1,0,1,20260723,full_loss_probability,6.66666666666667e-05,6.66666666666667e-05,2.71050543121376e-20,1
nominal,1,2,1,0,1,20260723,A0_pair_share,0.00044006734006734,0.00044006734006734,0,1
nominal,1,2,1,0,1,20260723,reachable_pair_share,0.999559932659933,0.999559932659933,3.33066907387547e-16,1
nominal,1,2,1,0,1,20260723,C_reachable_mean_km,19.0249403463613,19.0249403463613,2.48689957516035e-14,1
nominal,1,2,1,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,1,2,1,0,1,20260723,W3_failed_lines_mean,0.0862,0.0862,0,1
nominal,1,2,1,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,1,2,1,0,1,20260723,W3_closed_roads_mean,0.0292666666666667,0.0292666666666667,3.46944695195361e-17,1
nominal,1,2,1,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,1,2,1,0,1,20260723,D_upper_bound_hit_share,6.66666666666667e-05,6.66666666666667e-05,2.71050543121376e-20,1
nominal,2,2,2,0,1,20260723,D_mean_kg,3.15366082062752,3.15366082062752,1.77635683940025e-15,1
nominal,2,2,2,0,1,20260723,D_q95_kg,0,0,0,1
nominal,2,2,2,0,1,20260723,D_q99_kg,121.921283037395,121.921283037395,3.41060513164848e-13,1
nominal,2,2,2,0,1,20260723,full_loss_probability,0,0,0,1
nominal,2,2,2,0,1,20260723,A0_pair_share,0.000423400673400673,0.000423400673400673,4.87890977618477e-19,1
nominal,2,2,2,0,1,20260723,reachable_pair_share,0.999576599326599,0.999576599326599,3.33066907387547e-16,1
nominal,2,2,2,0,1,20260723,C_reachable_mean_km,19.0240015269623,19.0240015269623,0,1
nominal,2,2,2,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,2,2,2,0,1,20260723,W3_failed_lines_mean,0.0828666666666667,0.0828666666666667,2.77555756156289e-17,1
nominal,2,2,2,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,2,2,2,0,1,20260723,W3_closed_roads_mean,0.0252,0.0252,0,1
nominal,2,2,2,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,2,2,2,0,1,20260723,D_upper_bound_hit_share,0,0,0,1
nominal,3,2,3,0,1,20260723,D_mean_kg,2.7717680858995,2.7717680858995,8.88178419700125e-16,1
nominal,3,2,3,0,1,20260723,D_q95_kg,0,0,0,1
nominal,3,2,3,0,1,20260723,D_q99_kg,93.8275645746393,93.8275645746393,2.8421709430404e-14,1
nominal,3,2,3,0,1,20260723,full_loss_probability,6.66666666666667e-05,6.66666666666667e-05,2.71050543121376e-20,1
nominal,3,2,3,0,1,20260723,A0_pair_share,0.000324410774410774,0.000324410774410774,4.33680868994202e-19,1
nominal,3,2,3,0,1,20260723,reachable_pair_share,0.999675589225589,0.999675589225589,2.22044604925031e-16,1
nominal,3,2,3,0,1,20260723,C_reachable_mean_km,19.0239451675436,19.0239451675436,3.19744231092045e-14,1
nominal,3,2,3,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,3,2,3,0,1,20260723,W3_failed_lines_mean,0.0702,0.0702,0,1
nominal,3,2,3,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,3,2,3,0,1,20260723,W3_closed_roads_mean,0.0214666666666667,0.0214666666666667,3.46944695195361e-17,1
nominal,3,2,3,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,3,2,3,0,1,20260723,D_upper_bound_hit_share,6.66666666666667e-05,6.66666666666667e-05,2.71050543121376e-20,1
nominal,4,2,4,0,1,20260723,D_mean_kg,2.79378846975607,2.79378846975607,3.99680288865056e-15,1
nominal,4,2,4,0,1,20260723,D_q95_kg,0,0,0,1
nominal,4,2,4,0,1,20260723,D_q99_kg,94.3730736710035,94.3730736710035,4.2632564145606e-14,1
nominal,4,2,4,0,1,20260723,full_loss_probability,0.000133333333333333,0.000133333333333333,3.52365706057789e-19,1
nominal,4,2,4,0,1,20260723,A0_pair_share,0.000424242424242424,0.000424242424242424,3.25260651745651e-19,1
nominal,4,2,4,0,1,20260723,reachable_pair_share,0.999575757575758,0.999575757575758,4.44089209850063e-16,1
nominal,4,2,4,0,1,20260723,C_reachable_mean_km,19.0274348649093,19.0274348649093,3.19744231092045e-14,1
nominal,4,2,4,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,4,2,4,0,1,20260723,W3_failed_lines_mean,0.0838666666666667,0.0838666666666667,2.77555756156289e-17,1
nominal,4,2,4,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,4,2,4,0,1,20260723,W3_closed_roads_mean,0.0274,0.0274,0,1
nominal,4,2,4,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,4,2,4,0,1,20260723,D_upper_bound_hit_share,0.000133333333333333,0.000133333333333333,3.52365706057789e-19,1
nominal,5,2,5,0,1,20260723,D_mean_kg,1.75353899026266,1.75353899026266,2.66453525910038e-15,1
nominal,5,2,5,0,1,20260723,D_q95_kg,0,0,0,1
nominal,5,2,5,0,1,20260723,D_q99_kg,45.8227640945913,45.8227640945913,2.8421709430404e-14,1
nominal,5,2,5,0,1,20260723,full_loss_probability,0,0,0,1
nominal,5,2,5,0,1,20260723,A0_pair_share,0.000298821548821549,0.000298821548821549,1.62630325872826e-19,1
nominal,5,2,5,0,1,20260723,reachable_pair_share,0.999701178451178,0.999701178451179,5.55111512312578e-16,1
nominal,5,2,5,0,1,20260723,C_reachable_mean_km,19.0207603965515,19.0207603965515,1.77635683940025e-14,1
nominal,5,2,5,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,5,2,5,0,1,20260723,W3_failed_lines_mean,0.0570666666666667,0.0570666666666667,3.46944695195361e-17,1
nominal,5,2,5,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,5,2,5,0,1,20260723,W3_closed_roads_mean,0.0179333333333333,0.0179333333333333,3.12250225675825e-17,1
nominal,5,2,5,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,5,2,5,0,1,20260723,D_upper_bound_hit_share,0,0,0,1
nominal,6,2,6,0,1,20260723,D_mean_kg,1.54488176090336,1.54488176090336,2.88657986402541e-15,1
nominal,6,2,6,0,1,20260723,D_q95_kg,0,0,0,1
nominal,6,2,6,0,1,20260723,D_q99_kg,22.9113820472956,22.9113820472956,3.90798504668055e-14,1
nominal,6,2,6,0,1,20260723,full_loss_probability,0,0,0,1
nominal,6,2,6,0,1,20260723,A0_pair_share,0.000212962962962963,0.000212962962962963,8.13151629364128e-20,1
nominal,6,2,6,0,1,20260723,reachable_pair_share,0.999787037037037,0.999787037037037,1.11022302462516e-16,1
nominal,6,2,6,0,1,20260723,C_reachable_mean_km,19.0204478091665,19.0204478091665,1.06581410364015e-14,1
nominal,6,2,6,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,6,2,6,0,1,20260723,W3_failed_lines_mean,0.0477333333333333,0.0477333333333333,3.46944695195361e-17,1
nominal,6,2,6,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,6,2,6,0,1,20260723,W3_closed_roads_mean,0.0147333333333333,0.0147333333333333,3.29597460435593e-17,1
nominal,6,2,6,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,6,2,6,0,1,20260723,D_upper_bound_hit_share,0,0,0,1
nominal,7,2,7,0,1,20260723,D_mean_kg,1.03757648492122,1.03757648492122,6.66133814775094e-16,1
nominal,7,2,7,0,1,20260723,D_q95_kg,0,0,0,1
nominal,7,2,7,0,1,20260723,D_q99_kg,0,0,0,1
nominal,7,2,7,0,1,20260723,full_loss_probability,0,0,0,1
nominal,7,2,7,0,1,20260723,A0_pair_share,0.000238720538720539,0.000238720538720539,3.25260651745651e-19,1
nominal,7,2,7,0,1,20260723,reachable_pair_share,0.999761279461279,0.999761279461279,4.44089209850063e-16,1
nominal,7,2,7,0,1,20260723,C_reachable_mean_km,19.0177563867776,19.0177563867776,3.90798504668055e-14,1
nominal,7,2,7,0,1,20260723,C_reachable_q95_km,19.0137618887991,19.0137618887991,3.90798504668055e-14,1
nominal,7,2,7,0,1,20260723,W3_failed_lines_mean,0.0408,0.0408,0,1
nominal,7,2,7,0,1,20260723,W3_failed_lines_q95,0,0,0,1
nominal,7,2,7,0,1,20260723,W3_closed_roads_mean,0.014,0.014,0,1
nominal,7,2,7,0,1,20260723,W3_closed_roads_q95,0,0,0,1
nominal,7,2,7,0,1,20260723,D_upper_bound_hit_share,0,0,0,1
nominal,8,3,1,0,1,20260723,D_mean_kg,40.857158443117,40.857158443117,0,1
nominal,8,3,1,0,1,20260723,D_q95_kg,291.301857458473,291.301857458473,5.6843418860808e-14,1
nominal,8,3,1,0,1,20260723,D_q99_kg,407.495294984044,407.495294984044,1.70530256582424e-13,1
nominal,8,3,1,0,1,20260723,full_loss_probability,0.00206666666666667,0.00206666666666667,3.46944695195361e-18,1
nominal,8,3,1,0,1,20260723,A0_pair_share,0.00460959595959596,0.00460959595959596,1.73472347597681e-18,1
nominal,8,3,1,0,1,20260723,reachable_pair_share,0.995390404040404,0.995390404040404,0,1
nominal,8,3,1,0,1,20260723,C_reachable_mean_km,19.1377761535338,19.1377761535338,3.19744231092045e-14,1
