dataset_role,base_joint_seed,record_count,initial_state_count,csv_bytes,dac_mat_bytes,csv_sha256,dac_mat_sha256
nominal,20260723,525000,35,122068355,188959741,366dc3c0b57bfd76aca92f51ae1db82b93c764c87fa15e8cb4dd32388d018168,6936a696f5cde137aca483f8c32adee33b52cbd90559a8e6395f3686c0712945
validation-1,20260724,525000,35,124697225,188919247,e39253d5af25d312b5d65cbb4efdf5ad4e907843f9203a46c47c7ca058ed3099,ca84afa01748d8c2929c372802861315254723424786b681a677e2f1420b6e3f
validation-2,20260725,525000,35,124701276,188936785,91c8e1233017d5d7dea9a87592f5bfb196e0d629733c10892fb539e4228c9b02,0bae20fa685940751edf5c5dd3d6c43a2d52293cbd1350c02b84736e914ec3b6
