dataset_role,initial_state_id,a0,loc0,lfw0,record_count,minimum_weight,maximum_weight,weight_sum,passed
nominal,1,2,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,2,2,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,3,2,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,4,2,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,5,2,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,6,2,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,7,2,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,8,3,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,9,3,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,10,3,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,11,3,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,12,3,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,13,3,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,14,3,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,15,4,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,16,4,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,17,4,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,18,4,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,19,4,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,20,4,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,21,4,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,22,5,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,23,5,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,24,5,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,25,5,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,26,5,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,27,5,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
