initial_state_id,R,evaluation_model,terminalLOH_source,T1,T2,T3,T4,TerminalLOH_cost,mean_service_cost,mean_shortage_loss,mean_operating_loss,total_objective,target_model_optimum,objective_regret,relative_objective_regret,positive_demand_scenario_count,mean_total_demand_kg,max_total_demand_kg,aggregate_status,period_status,replay_complete,failure_message,case_pass
1,100,AGGREGATE,T_AGGREGATE,154.924583367428,58.9149824073316,97.6461282491885,93.8275645746393,810.626517197174,92.5507894586279,343.670730709435,436.221520168062,1246.84803736524,1246.84803736524,0,0,4,12.6121703079399,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,100,PERIOD,T_PERIOD,154.924583367428,60.3796743310695,100,93.8275645746393,818.263644546273,93.7789796762732,114.556910236478,208.335889912751,1026.59953445902,1026.59953445902,0,0,4,12.6121703079399,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,100,PERIOD,T_AGGREGATE,154.924583367428,58.9149824073316,97.6461282491885,93.8275645746393,810.626517197174,92.9155507027843,190.928183727463,283.843734430247,1094.47025162742,1026.59953445902,67.8707171683971,0.066112164373971,4,12.6121703079399,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,100,AGGREGATE,T_PERIOD,154.924583367428,60.3796743310695,100,93.8275645746393,818.263644546273,92.4830448984273,343.670730709435,436.153775607862,1254.41742015413,1246.84803736524,7.56938278889766,0.00607081421477217,4,12.6121703079399,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,500,AGGREGATE,T_AGGREGATE,154.924583367428,58.9149824073316,97.6461282491885,93.8275645746393,810.626517197174,33.6253928757614,68.7341461418869,102.359539017648,912.986056214822,912.986056214822,0,0,14,5.28925619834711,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,500,PERIOD,T_PERIOD,154.924583367428,60.3796743310694,100,93.8275645746393,818.263644546273,33.8710309192904,22.9113820472956,56.7824129665861,875.046057512858,875.046057512858,0,0,14,5.28925619834711,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,500,PERIOD,T_AGGREGATE,154.924583367428,58.9149824073316,97.6461282491885,93.8275645746393,810.626517197174,33.6983451245927,38.1856367454925,71.8839818700851,882.510499067259,875.046057512858,7.46444155440179,0.00853034133496694,14,5.28925619834711,414.85966778496,OPTIMAL,OPTIMAL,1,,1
1,500,AGGREGATE,T_PERIOD,154.924583367428,60.3796743310694,100,93.8275645746393,818.263644546273,33.6118439637212,68.7341461418869,102.345990105608,920.609634651881,912.986056214822,7.62357843705865,0.00835015867456453,14,5.28925619834711,414.85966778496,OPTIMAL,OPTIMAL,1,,1
2,100,AGGREGATE,T_AGGREGATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OPTIMAL,OPTIMAL,1,,1
2,100,PERIOD,T_PERIOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OPTIMAL,OPTIMAL,1,,1
2,100,PERIOD,T_AGGREGATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OPTIMAL,OPTIMAL,1,,1
2,100,AGGREGATE,T_PERIOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OPTIMAL,OPTIMAL,1,,1
2,500,AGGREGATE,T_AGGREGATE,111.283855658293,50.7323459618689,66.5521097564302,93.8275645746393,644.791751902463,11.0828395627021,0,11.0828395627021,655.874591465165,655.874591465165,0,0,9,2.0849357663039,322.395875951231,OPTIMAL,OPTIMAL,1,,1
2,500,PERIOD,T_PERIOD,111.283855658293,50.7323459618689,66.5521097564302,93.8275645746393,644.791751902463,11.0828395627021,0,11.0828395627021,655.874591465165,655.874591465165,0,0,9,2.0849357663039,322.395875951231,OPTIMAL,OPTIMAL,1,,1
2,500,PERIOD,T_AGGREGATE,111.283855658293,50.7323459618689,66.5521097564302,93.8275645746393,644.791751902463,11.0828395627021,0,11.082839562702,655.874591465165,655.874591465165,1.13686837721616e-13,1.73336243240724e-16,9,2.0849357663039,322.395875951231,OPTIMAL,OPTIMAL,1,,1
