path_id,hours_before_stage7,current_inventory_kg,remaining_target_gap_kg,remaining_hours,remaining_electrolyzer_nameplate_max_kg,known_remaining_ordinary_demand_kg,simple_optimistic_additional_H2_upper_bound_kg,optimistic_final_inventory_kg,target_total_kg,optimistic_total_margin_kg,serve_all_remaining_demand_net_additional_H2_kg,serve_all_remaining_demand_final_inventory_kg,serve_all_remaining_demand_total_margin_kg,TARGET_STILL_PHYSICALLY_REACHABLE,reason,diagnostic_label
11,16,251.186343625,144.339021097,16,240.24,98.5039340683,240.24,491.426343625,395.525364721,95.9009789034,141.736065932,392.922409557,-2.60295516485,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
11,8,371.306343625,24.2190210966,8,120.12,59.4930059307,120.12,491.426343625,395.525364721,95.9009789034,60.6269940693,431.933337694,36.4079729727,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
11,4,415.332527527,0,4,60.06,33.3106263059,60.06,475.392527527,395.525364721,79.8671628061,26.7493736941,442.081901222,46.5565365001,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
16,16,241.507481134,154.017883587,16,240.24,104.989071862,240.24,481.747481134,395.525364721,86.2221164131,135.250928138,376.758409272,-18.7669554493,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
16,8,302.134475204,93.3908895176,8,120.12,45.4960659317,120.12,422.254475204,395.525364721,26.7291104824,74.6239340683,376.758409272,-18.7669554493,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
16,4,360.901906248,34.6234584737,4,60.06,8.99688639124,60.06,420.961906248,395.525364721,25.4365415263,51.0631136088,411.965019856,16.439655135,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
24,16,302.134475204,84.6314553465,16,240.24,84.5069940693,240.24,542.374475204,386.76593055,155.608544654,155.733005931,457.867481134,71.1015505843,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
24,8,388.994224464,0,8,120.12,39.0109281376,120.12,509.114224464,386.76593055,122.348293914,81.1090718624,470.103296327,83.3373657766,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
24,4,444.182953706,0,4,60.06,32.8359897274,60.06,504.242953706,386.76593055,117.477023156,27.2240102726,471.406963978,84.6410334282,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
55,16,182.014475204,134.92625629,16,240.24,84.5069940693,240.24,422.254475204,316.940731494,105.31374371,155.733005931,337.747481134,20.8067496406,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
