path_id,LAST_PHYSICALLY_RECOVERABLE_HOUR,FIRST_PHYSICALLY_UNRECOVERABLE_HOUR,not_proven_unrecoverable_at_16h,not_proven_unrecoverable_at_8h,first_proven_unrecoverable_only_by_4h
11,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
16,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
24,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
55,NOT_IDENTIFIABLE,-8,True,False,False
61,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
139,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
152,NOT_IDENTIFIABLE,-16,False,False,False
156,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
182,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
201,NOT_IDENTIFIABLE,-8,True,False,False
202,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
216,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
222,NOT_IDENTIFIABLE,-8,True,False,False
230,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
272,NOT_IDENTIFIABLE,-8,True,False,False
282,NOT_IDENTIFIABLE,-8,True,False,False
285,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
289,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
313,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
326,NOT_IDENTIFIABLE,-16,False,False,False
439,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
459,NOT_IDENTIFIABLE,-8,True,False,False
462,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
467,NOT_IDENTIFIABLE,-16,False,False,False
477,NOT_IDENTIFIABLE,-4,True,True,True
484,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
488,NOT_IDENTIFIABLE,-16,False,False,False
491,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
518,NOT_IDENTIFIABLE,-16,False,False,False
521,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
550,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
579,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
634,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
643,NOT_IDENTIFIABLE,-16,False,False,False
657,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
664,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
668,NOT_IDENTIFIABLE,-8,True,False,False
710,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
749,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
766,NOT_IDENTIFIABLE,-8,True,False,False
778,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
783,NOT_IDENTIFIABLE,-8,True,False,False
801,NOT_IDENTIFIABLE,-16,False,False,False
806,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
825,NOT_IDENTIFIABLE,-16,False,False,False
838,NOT_IDENTIFIABLE,-8,True,False,False
869,NOT_IDENTIFIABLE,-8,True,False,False
870,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
889,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
904,NOT_IDENTIFIABLE,-16,False,False,False
942,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
965,NOT_IDENTIFIABLE,-4,True,True,True
996,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
1057,NOT_IDENTIFIABLE,-8,True,False,False
1096,NOT_IDENTIFIABLE,-8,True,False,False
1108,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
1117,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
1130,NOT_IDENTIFIABLE,NOT_IDENTIFIABLE,True,True,False
