hours_before_stage7,TARGET_STILL_PHYSICALLY_REACHABLE,path_count,denominator_shortfall_paths,fraction_of_shortfall_paths
4,NO,167,473,0.353065539112
4,NOT_IDENTIFIABLE,306,473,0.646934460888
8,NO,156,473,0.329809725159
8,NOT_IDENTIFIABLE,317,473,0.670190274841
16,NO,70,473,0.14799154334
16,NOT_IDENTIFIABLE,403,473,0.85200845666
