group,site,path_count,site_hour_count,mean_utilization,q95_utilization,hours_ge90,fraction_ge90,hours_ge95,fraction_ge95,hours_ge99,fraction_ge99,near_max_ratio
adequate_positive_target,1,650,10400,0.839913627093,1,8692,0.835769230769,8689,0.835480769231,8685,0.835096153846,0.835
adequate_positive_target,2,650,10400,0.776056367242,1,8020,0.771153846154,8018,0.770961538462,8017,0.770865384615,0.770865384615
adequate_positive_target,3,650,10400,0.725387079788,1,7096,0.682307692308,7094,0.682115384615,7092,0.681923076923,0.681826923077
adequate_positive_target,4,650,10400,0.841301133214,1,8726,0.839038461538,8724,0.838846153846,8720,0.838461538462,0.837884615385
shortfall,1,473,7568,0.740010864767,1,5563,0.735068710359,5558,0.734408033827,5555,0.734011627907,0.733747357294
shortfall,2,473,7568,0.66048321973,1,4972,0.656976744186,4971,0.656844608879,4970,0.656712473573,0.656712473573
shortfall,3,473,7568,0.625965555059,1,4413,0.583113107822,4407,0.582320295983,4406,0.582188160677,0.582188160677
shortfall,4,473,7568,0.754914939169,1,5700,0.753171247357,5695,0.752510570825,5689,0.751717758985,0.751717758985
pure_quantity,1,118,1888,0.659181349765,1,1237,0.655190677966,1236,0.654661016949,1236,0.654661016949,0.654131355932
pure_quantity,2,118,1888,0.564256482843,1,1059,0.560911016949,1058,0.560381355932,1057,0.559851694915,0.559851694915
pure_quantity,3,118,1888,0.554759887118,1,983,0.520656779661,981,0.519597457627,981,0.519597457627,0.519597457627
pure_quantity,4,118,1888,0.666782848135,1,1256,0.665254237288,1253,0.663665254237,1251,0.662605932203,0.662605932203
pure_location,1,203,3248,0.793782630121,1,2560,0.788177339901,2557,0.787253694581,2555,0.786637931034,0.786637931034
pure_location,2,203,3248,0.73899736001,1,2384,0.733990147783,2384,0.733990147783,2384,0.733990147783,0.733990147783
pure_location,3,203,3248,0.68032796684,1,2062,0.634852216749,2061,0.634544334975,2060,0.634236453202,0.634236453202
pure_location,4,203,3248,0.808100409201,1,2618,0.806034482759,2617,0.805726600985,2616,0.805418719212,0.805418719212
mixed,1,152,2432,0.730946485842,1,1766,0.726151315789,1765,0.725740131579,1764,0.725328947368,0.724917763158
mixed,2,152,2432,0.630327854438,1,1529,0.628700657895,1529,0.628700657895,1529,0.628700657895,0.628700657895
mixed,3,152,2432,0.608641207859,1,1368,0.5625,1365,0.561266447368,1365,0.561266447368,0.561266447368
mixed,4,152,2432,0.752302678153,1,1826,0.750822368421,1825,0.750411184211,1822,0.749177631579,0.749177631579
surplus_gt100,1,520,8320,0.903904257576,1,7491,0.900360576923,7488,0.9,7485,0.899639423077,0.899519230769
surplus_gt100,2,520,8320,0.850416123254,1,7035,0.845552884615,7033,0.8453125,7033,0.8453125,0.8453125
surplus_gt100,3,520,8320,0.786754282121,1,6163,0.740745192308,6162,0.740625,6161,0.740504807692,0.740504807692
surplus_gt100,4,520,8320,0.902459950307,1,7489,0.900120192308,7487,0.899879807692,7486,0.899759615385,0.899038461538
