tau,branch,from_bus,to_bus,p_kw,q_kvar,true_s_mva,true_utilization,true_circle_pass,hour_octagon_violation,hour_true_circle_violation_mva
1,1,1,2,2909.00103,1800.9966,3.42138506247874,0.570230843746456,1,0,0
1,2,2,3,2548.80171,1628.72736,3.02475502646272,0.504125837743787,1,0,0
1,3,3,4,1750.09887,1245.03678,2.14778086366558,0.357963477277596,1,0,0
1,4,4,5,1656.13383,1182.39342,2.0349037968734,0.339150632812233,1,0,0
1,5,5,6,1609.15131,1158.90216,1.98303357382758,0.33050559563793,1,0,0
1,6,6,7,841.77015,399.35142,0.931696593364513,0.155282765560752,1,0,0
1,7,7,8,685.16175,321.04722,0.756649153262455,0.126108192210409,1,0,0
1,8,8,9,528.55335,242.74302,0.581629450384816,0.0969382417308026,1,0,0
1,9,9,10,481.57083,227.08218,0.532425375785604,0.0887375626309339,1,0,0
1,10,10,11,434.58831,211.42134,0.483286645993919,0.0805477743323199,1,0,0
1,11,11,12,399.35142,187.93008,0.441360704667761,0.0735601174446269,1,0,0
1,12,12,13,352.3689,160.52361,0.387210112283554,0.0645350187139256,1,0,0
1,13,13,14,305.38638,133.11714,0.333138130587425,0.0555230217645708,1,0,0
1,14,14,15,211.42134,70.47378,0.222857660121621,0.0371429433536035,1,0,0
1,15,15,16,164.43882,62.64336,0.175966803900855,0.0293278006501425,1,0,0
1,16,16,17,117.4563,46.98252,0.126504306627246,0.0210840511045411,1,0,0
1,17,17,18,70.47378,31.32168,0.0771206931083403,0.01285344885139,1,0,0
1,18,2,19,281.89512,125.28672,0.308482772433361,0.0514137954055602,1,0,0
1,19,19,20,211.42134,93.96504,0.231362079325021,0.0385603465541701,1,0,0
1,20,20,21,140.94756,62.64336,0.154241386216681,0.0257068977027801,1,0,0
1,21,21,22,70.47378,31.32168,0.0771206931083403,0.01285344885139,1,0,0
1,22,3,23,728.22906,352.3689,0.809000250627708,0.134833375104618,1,0,0
1,23,23,24,657.75528,313.2168,0.728523693623014,0.121420615603836,1,0,0
1,24,24,25,328.87764,156.6084,0.364261846811507,0.0607103078019178,1,0,0
1,25,6,26,720.39864,743.8899,1.03554158962152,0.17259026493692,1,0,0
1,26,26,27,673.41612,724.31385,0.988999405448596,0.164833234241433,1,0,0
1,27,27,28,626.4336,704.7378,0.942907430216668,0.157151238369445,1,0,0
1,28,28,29,579.45108,689.07696,0.900328057385755,0.150054676230959,1,0,0
1,29,29,30,485.48604,634.26402,0.798741223489462,0.133123537248244,1,0,0
1,30,30,31,328.87764,164.43882,0.367696379659852,0.0612827299433087,1,0,0
1,31,31,32,211.42134,109.62588,0.238152926862489,0.0396921544770815,1,0,0
1,32,32,33,46.98252,31.32168,0.0564659616368375,0.00941099360613958,1,0,0
2,1,1,2,2741.0013,1696.986,3.22379428791567,0.537299047985945,1,0,0
2,2,2,3,2401.6041,1534.6656,2.85007030737141,0.475011717895235,1,0,0
2,3,3,4,1649.0277,1173.1338,2.02374288586019,0.337290480976698,1,0,0
2,4,4,5,1560.4893,1114.1082,1.91738466060458,0.319564110100763,1,0,0
2,5,5,6,1516.2201,1091.9736,1.86851003067711,0.311418338446185,1,0,0
2,6,6,7,793.1565,376.2882,0.877889539151419,0.146314923191903,1,0,0
2,7,7,8,645.5925,302.5062,0.712951384804525,0.118825230800754,1,0,0
2,8,8,9,498.0285,228.7242,0.548039365810423,0.0913398943017371,1,0,0
2,9,9,10,453.7593,213.9678,0.50167690974703,0.0836128182911717,1,0,0
2,10,10,11,409.4901,199.2114,0.455376024718002,0.0758960041196669,1,0,0
2,11,11,12,376.2882,177.0768,0.415871377420327,0.0693118962367212,1,0,0
2,12,12,13,332.019,151.2531,0.364848073340959,0.0608080122234932,1,0,0
2,13,13,14,287.7498,125.4294,0.313898840049466,0.0523164733415776,1,0,0
2,14,14,15,199.2114,66.4038,0.209987253290289,0.0349978755483815,1,0,0
2,15,15,16,154.9422,59.0256,0.165804423331225,0.0276340705552041,1,0,0
2,16,16,17,110.673,44.2692,0.119198468939999,0.0198664114899999,1,0,0
2,17,17,18,66.4038,29.5128,0.072666842633212,0.0121111404388687,1,0,0
2,18,2,19,265.6152,118.0512,0.290667370532848,0.0484445617554747,1,0,0
2,19,19,20,199.2114,88.5384,0.218000527899636,0.036333421316606,1,0,0
2,20,20,21,132.8076,59.0256,0.145333685266424,0.0242222808777373,1,0,0
2,21,21,22,66.4038,29.5128,0.072666842633212,0.0121111404388687,1,0,0
2,22,3,23,686.1726,332.019,0.762279117746092,0.127046519624349,1,0,0
2,23,23,24,619.7688,295.128,0.686450218032918,0.114408369672153,1,0,0
2,24,24,25,309.8844,147.564,0.343225109016459,0.0572041848360765,1,0,0
2,25,6,26,678.7944,700.929,0.975737311222831,0.162622885203805,1,0,0
2,26,26,27,634.5252,682.4835,0.931883016911077,0.155313836151846,1,0,0
2,27,27,28,590.256,664.038,0.888452931212453,0.148075488535409,1,0,0
2,28,28,29,545.9868,649.2816,0.84833258918469,0.141388764864115,1,0,0
2,29,29,30,457.4484,597.6342,0.75261256677802,0.125435427796337,1,0,0
2,30,30,31,309.8844,154.9422,0.346461291783368,0.0577435486305613,1,0,0
2,31,31,32,199.2114,103.2948,0.224399192505232,0.0373998654175386,1,0,0
2,32,32,33,44.2692,29.5128,0.0532049568412568,0.00886749280687614,1,0,0
3,1,1,2,2686.000725,1662.9345,3.15910605171634,0.526517675286056,1,0,0
3,2,2,3,2353.413825,1503.8712,2.79288116787854,0.465480194646422,1,0,0
3,3,3,4,1615.938525,1149.59385,1.98313472475699,0.330522454126166,1,0,0
3,4,4,5,1529.176725,1091.75265,1.87891066979347,0.313151778298912,1,0,0
3,5,5,6,1485.795825,1070.0622,1.83101675182295,0.305169458637158,1,0,0
3,6,6,7,777.241125,368.73765,0.86027392202646,0.14337898700441,1,0,0
3,7,7,8,632.638125,296.43615,0.698645395197262,0.116440899199544,1,0,0
3,8,8,9,488.035125,224.13465,0.53704247929227,0.089507079882045,1,0,0
3,9,9,10,444.654225,209.67435,0.491610326232345,0.0819350543720576,1,0,0
3,10,10,11,401.273325,195.21405,0.44623850873043,0.074373084788405,1,0,0
3,11,11,12,368.73765,173.5236,0.407526556538936,0.0679210927564893,1,0,0
3,12,12,13,325.35675,148.218075,0.357527079432129,0.0595878465720215,1,0,0
3,13,13,14,281.97585,122.91255,0.307600186818417,0.0512666978030695,1,0,0
3,14,14,15,195.21405,65.07135,0.205773676421998,0.0342956127369996,1,0,0
3,15,15,16,151.83315,57.8412,0.162477413372944,0.0270795688954907,1,0,0
3,16,16,17,108.45225,43.3809,0.116806647990911,0.0194677746651518,1,0,0
3,17,17,18,65.07135,28.9206,0.0712087192356561,0.0118681198726094,1,0,0
3,18,2,19,260.2854,115.6824,0.284834876942624,0.0474724794904374,1,0,0
3,19,19,20,195.21405,86.7618,0.213626157706968,0.035604359617828,1,0,0
3,20,20,21,130.1427,57.8412,0.142417438471312,0.0237362397452187,1,0,0
3,21,21,22,65.07135,28.9206,0.0712087192356561,0.0118681198726094,1,0,0
3,22,3,23,672.40395,325.35675,0.746983324275827,0.124497220712638,1,0,0
3,23,23,24,607.3326,289.206,0.672675997385636,0.112112666230939,1,0,0
3,24,24,25,303.6663,144.603,0.336337998692818,0.0560563331154696,1,0,0
3,25,6,26,665.1738,686.86425,0.956158293450672,0.159359715575112,1,0,0
3,26,26,27,621.7929,668.788875,0.91318397369543,0.152197328949238,1,0,0
3,27,27,28,578.412,650.7135,0.870625350438551,0.145104225073092,1,0,0
3,28,28,29,535.0311,636.2532,0.831310057967212,0.138551676327869,1,0,0
3,29,29,30,448.2693,585.64215,0.737510741060164,0.122918456843361,1,0,0
3,30,30,31,303.6663,151.83315,0.339509244637922,0.0565848741063204,1,0,0
3,31,31,32,195.21405,101.2221,0.219896427542178,0.0366494045903631,1,0,0
3,32,32,33,43.3809,28.9206,0.0521373531085919,0.00868955885143199,1,0,0
4,1,1,2,2630.000815,1628.2643,3.09324246019531,0.515540410032552,1,0,0
4,2,2,3,2304.347955,1472.51728,2.73465292818143,0.455775488030239,1,0,0
4,3,3,4,1582.248135,1125.62619,1.9417887321552,0.3236314553592,1,0,0
4,4,4,5,1497.295215,1068.99091,1.83973762437053,0.306622937395088,1,0,0
4,5,5,6,1454.818755,1047.75268,1.79284223743946,0.298807039573243,1,0,0
4,6,6,7,761.036575,361.04991,0.842338237288762,0.140389706214794,1,0,0
4,7,7,8,619.448375,290.25581,0.684079472377952,0.114013245396325,1,0,0
4,8,8,9,477.860175,219.46171,0.525845784434139,0.0876409640723564,1,0,0
4,9,9,10,435.383715,205.30289,0.481360837552821,0.0802268062588035,1,0,0
4,10,10,11,392.907255,191.14407,0.436934968305124,0.0728224947175207,1,0,0
4,11,11,12,361.04991,169.90584,0.399030114123124,0.0665050190205207,1,0,0
4,12,12,13,318.57345,145.127905,0.350073066451265,0.0583455110752108,1,0,0
4,13,13,14,276.09699,120.34997,0.301187089972431,0.0501978483287384,1,0,0
4,14,14,15,191.14407,63.71469,0.201483540811554,0.0335805901352589,1,0,0
4,15,15,16,148.66761,56.63528,0.159089953183067,0.0265149921971779,1,0,0
4,16,16,17,106.19115,42.47646,0.114371368761828,0.019061894793638,1,0,0
4,17,17,18,63.71469,28.31764,0.0697241024106134,0.0116206837351022,1,0,0
4,18,2,19,254.85876,113.27056,0.278896409642453,0.0464827349404089,1,0,0
4,19,19,20,191.14407,84.95292,0.20917230723184,0.0348620512053067,1,0,0
4,20,20,21,127.42938,56.63528,0.139448204821227,0.0232413674702045,1,0,0
4,21,21,22,63.71469,28.31764,0.0697241024106134,0.0116206837351022,1,0,0
4,22,3,23,658.38513,318.57345,0.731409613315288,0.121901602219215,1,0,0
4,23,23,24,594.67044,283.1764,0.658651505522271,0.109775250920378,1,0,0
4,24,24,25,297.33522,141.5882,0.329325752761135,0.0548876254601892,1,0,0
4,25,6,26,651.30572,672.54395,0.936223533984444,0.156037255664074,1,0,0
4,26,26,27,608.82926,654.845425,0.894145177516257,0.149024196252709,1,0,0
4,27,27,28,566.3528,637.1469,0.85247385077048,0.142078975128413,1,0,0
4,28,28,29,523.87634,622.98808,0.813978235233524,0.135663039205587,1,0,0
4,29,29,30,438.92342,573.43221,0.72213452215635,0.120355753692725,1,0,0
4,30,30,31,297.33522,148.66761,0.332430882012427,0.0554051470020712,1,0,0
4,31,31,32,191.14407,99.11174,0.215311849423093,0.0358853082371821,1,0,0
4,32,32,33,42.47646,28.31764,0.051050351510065,0.00850839191834417,1,0,0
5,1,1,2,2596.001135,1607.2147,3.05325416315402,0.508875693859004,1,0,0
5,2,2,3,2274.558195,1453.48112,2.69930034428148,0.44988339071358,1,0,0
5,3,3,4,1561.793415,1111.07451,1.91668600399468,0.319447667332447,1,0,0
5,4,4,5,1477.938735,1055.17139,1.81595417527203,0.302659029212006,1,0,0
5,5,5,6,1436.011395,1034.20772,1.76966503459763,0.294944172432939,1,0,0
5,6,6,7,751.198175,356.38239,0.831448799401047,0.138574799900175,1,0,0
5,7,7,8,611.440375,286.50349,0.675235945401547,0.112539324233591,1,0,0
5,8,8,9,471.682575,216.62459,0.519047844183269,0.0865079740305448,1,0,0
5,9,9,10,429.755235,202.64881,0.475137982279171,0.0791896637131951,1,0,0
5,10,10,11,387.827895,188.67303,0.431286434274847,0.0718810723791412,1,0,0
5,11,11,12,356.38239,167.70936,0.393871600059869,0.0656452666766449,1,0,0
5,12,12,13,314.45505,143.251745,0.345547451033932,0.0575912418389887,1,0,0
5,13,13,14,272.52771,118.79413,0.297293454418864,0.0495489090698106,1,0,0
5,14,14,15,188.67303,62.89101,0.198878835948426,0.033146472658071,1,0,0
5,15,15,16,146.74569,55.90312,0.157033296976503,0.0261722161627505,1,0,0
5,16,16,17,104.81835,41.92734,0.112892817912381,0.0188154696520636,1,0,0
5,17,17,18,62.89101,27.95156,0.068822734944593,0.0114704558240988,1,0,0
5,18,2,19,251.56404,111.80624,0.275290939778372,0.0458818232963953,1,0,0
5,19,19,20,188.67303,83.85468,0.206468204833779,0.0344113674722965,1,0,0
5,20,20,21,125.78202,55.90312,0.137645469889186,0.0229409116481977,1,0,0
5,21,21,22,62.89101,27.95156,0.068822734944593,0.0114704558240988,1,0,0
5,22,3,23,649.87377,314.45505,0.721954219742856,0.120325703290476,1,0,0
5,23,23,24,586.98276,279.5156,0.650136701917818,0.108356116986303,1,0,0
5,24,24,25,293.49138,139.7578,0.325068350958909,0.0541780584931515,1,0,0
5,25,6,26,642.88588,663.84955,0.924120381627078,0.154020063604513,1,0,0
5,26,26,27,600.95854,646.379825,0.882585998623342,0.147097666437224,1,0,0
5,27,27,28,559.0312,628.9101,0.841453383411969,0.140242230568661,1,0,0
5,28,28,29,517.10386,614.93432,0.803455424986827,0.133909237497804,1,0,0
5,29,29,30,433.24918,566.01909,0.712799033539679,0.11879983892328,1,0,0
5,30,30,31,293.49138,146.74569,0.328133338245111,0.0546888897075185,1,0,0
5,31,31,32,188.67303,97.83046,0.212528377289228,0.0354213962148714,1,0,0
5,32,32,33,41.92734,27.95156,0.0503903914046041,0.00839839856743402,1,0,0
6,1,1,2,2518.000995,1558.9239,2.96151527715327,0.493585879525545,1,0,0
6,2,2,3,2206.216215,1409.80944,2.61819644878723,0.436366074797871,1,0,0
6,3,3,4,1514.867355,1077.69087,1.85909674695161,0.309849457825268,1,0,0
6,4,4,5,1433.532195,1023.46743,1.76139153352465,0.293565255587442,1,0,0
