tau,bus,v_sq,v_pu,lower_margin_pu,upper_margin_pu,voltage_pass
1,1,1,1,0.1,0.1,1
1,2,0.995581143570375,0.997788125590987,0.0977881255909869,0.102211874409013,1
1,3,0.974797784367527,0.987318481730959,0.0873184817309595,0.112681518269041,1
1,4,0.963908902438999,0.981788624113663,0.0817886241136627,0.118211375886337,1
1,5,0.953169211987863,0.976303852285682,0.0763038522856823,0.123696147714318,1
1,6,0.926499665905865,0.962548526520022,0.0625485265200215,0.137451473479979,1
1,7,0.921449639192179,0.959921683884774,0.0599216838847735,0.140078316115227,1
1,8,0.914425459961254,0.956255959438295,0.0562559594382951,0.143744040561705,1
1,9,0.905390525319924,0.951520112935047,0.0515201129350467,0.148479887064953,1
1,10,0.897043971304216,0.947124052753501,0.0471240527535007,0.152875947246499,1
1,11,0.895806322543631,0.946470455187921,0.0464704551879214,0.153529544812079,1
1,12,0.893650249934301,0.945330762185544,0.0453307621855435,0.154669237814457,1
1,13,0.884881824612542,0.940681574504647,0.0406815745046473,0.159318425495353,1
1,14,0.881633713577375,0.938953520456351,0.0389535204563511,0.161046479543649,1
1,15,0.879611955802393,0.937876300906678,0.0378763009066776,0.162123699093322,1
1,16,0.877654560883066,0.936832194623491,0.0368321946234909,0.163167805376509,1
1,17,0.874756326995687,0.93528408892469,0.0352840889246899,0.16471591107531,1
1,18,0.873888254110233,0.934819904639515,0.0348199046395153,0.165180095360485,1
1,19,0.994759581568923,0.997376349012208,0.0973763490122084,0.102623650987792,1
1,20,0.989201902236024,0.994586297028078,0.0945862970280776,0.105413702971922,1
1,21,0.988107704376287,0.994036067945367,0.0940360679453673,0.105963932054633,1
1,22,0.987117950810479,0.993538097312065,0.0935380973120653,0.106461902687935,1
1,23,0.969342028360474,0.984551689024235,0.084551689024235,0.115448310975765,1
1,24,0.959199919713618,0.979387522747568,0.0793875227475681,0.120612477252432,1
1,25,0.954152707103839,0.976807405328112,0.076807405328112,0.123192594671888,1
1,26,0.923714973294138,0.961100917330817,0.0611009173308171,0.138899082669183,1
1,27,0.920018926292611,0.959176170623839,0.0591761706238385,0.140823829376162,1
1,28,0.90352974308244,0.950541815535982,0.0505418155359818,0.149458184464018,1
1,29,0.891690612525924,0.944293710942694,0.044293710942694,0.155706289057306,1
1,30,0.886570164816229,0.94157854946692,0.04157854946692,0.15842145053308,1
1,31,0.880595294579262,0.938400391399781,0.038400391399781,0.161599608600219,1
1,32,0.879281059199179,0.937699876932475,0.0376998769324753,0.162300123067525,1
1,33,0.878873913082665,0.937482753485452,0.0374827534854522,0.162517246514548,1
2,1,1,1,0.1,0.1,1
2,2,0.995836340003594,0.99791599847061,0.0979159984706096,0.10208400152939,1
2,3,0.97625325494935,0.988055289419246,0.0880552894192458,0.111944710580754,1
2,4,0.965993224370522,0.98284954309931,0.0828495430993096,0.11715045690069,1
2,5,0.955873769208913,0.977687971291921,0.0776879712919212,0.122312028708079,1
2,6,0.930744434524157,0.964750970211566,0.0647509702115655,0.135249029788435,1
2,7,0.925986055395207,0.962281692330893,0.0622816923308925,0.137718307669108,1
2,8,0.919367534396128,0.958836552492721,0.0588365524927215,0.141163447507279,1
2,9,0.910854382512747,0.954386914470618,0.0543869144706179,0.145613085529382,1
2,10,0.902989856109476,0.950257784029932,0.0502577840299316,0.149742215970068,1
2,11,0.901823683658273,0.949643977319013,0.0496439773190127,0.150356022680987,1
2,12,0.899792127889086,0.948573733501559,0.0485737335015586,0.151426266498441,1
2,13,0.891530093961277,0.944208713135648,0.0442087131356481,0.155791286864352,1
2,14,0.888469566832506,0.942586636247568,0.0425866362475684,0.157413363752432,1
2,15,0.886564568988792,0.941575577948362,0.0415755779483619,0.158424422051638,1
2,16,0.884720216936951,0.940595671336495,0.0405956713364946,0.159404328663506,1
2,17,0.881989360958873,0.939142886337789,0.039142886337789,0.160857113662211,1
2,18,0.881171420750881,0.938707313677102,0.0387073136771021,0.161292686322898,1
2,19,0.995062224597381,0.997528057047711,0.0975280570477108,0.102471942952289,1
2,20,0.989825510646661,0.99489974904342,0.0948997490434205,0.10510025095658,1
2,21,0.988794504564138,0.994381468333023,0.0943814683330227,0.105618531666977,1
2,22,0.987861910940904,0.993912426193024,0.0939124261930244,0.106087573806976,1
2,23,0.971112578080007,0.985450444253798,0.0854504442537976,0.114549555746203,1
2,24,0.961556193362683,0.980589717141008,0.0805897171410083,0.119410282858992,1
2,25,0.956800465818378,0.978161778960095,0.0781617789600949,0.121838221039905,1
2,26,0.92812056262101,0.96339014040056,0.0633901404005597,0.13660985959944,1
2,27,0.924637968585611,0.96158097349397,0.06158097349397,0.13841902650603,1
2,28,0.909101063596954,0.953467914298617,0.0534679142986165,0.146532085701384,1
2,29,0.897945662855731,0.947599948741942,0.0475999487419418,0.152400051258058,1
2,30,0.893120929662406,0.945050755072132,0.0450507550721317,0.154949244927868,1
2,31,0.887491118287999,0.942067470135764,0.0420674701357641,0.157932529864236,1
2,32,0.886252782224119,0.941409996879212,0.0414099968792124,0.158590003120788,1
2,33,0.885869149484513,0.941206220487579,0.0412062204875787,0.158793779512421,1
3,1,1,1,0.1,0.1,1
3,2,0.995919887462658,0.9979578585605,0.0979578585604995,0.102042141439501,1
3,3,0.976729754041913,0.988296389774805,0.0882963897748048,0.111703610225195,1
3,4,0.966675599900047,0.983196623214323,0.0831966232143229,0.116803376785677,1
3,5,0.956759200407392,0.978140685385999,0.0781406853859992,0.121859314614001,1
3,6,0.93213410767868,0.965470925340934,0.0654709253409342,0.134529074659066,1
3,7,0.92747120956543,0.963053066848048,0.0630530668480476,0.136946933151952,1
3,8,0.920985494946486,0.95967989191526,0.0596798919152605,0.14032010808474,1
3,9,0.91264316685974,0.955323592747369,0.0553235927473688,0.144676407252631,1
3,10,0.904936449018722,0.95128147728142,0.0512814772814204,0.14871852271858,1
3,11,0.903793676832001,0.950680638717335,0.0506806387173353,0.149319361282665,1
3,12,0.901802885996215,0.949633027014233,0.0496330270142332,0.150366972985767,1
3,13,0.893706636964859,0.945360585684034,0.0453605856840338,0.154639414315966,1
3,14,0.890707521974742,0.943773024606416,0.0437730246064157,0.156226975393584,1
3,15,0.888840749569585,0.942783511507061,0.0427835115070613,0.157216488492939,1
3,16,0.887033406045743,0.941824509155364,0.0418245091553641,0.158175490844636,1
3,17,0.884357347067957,0.94040275790108,0.0404027579010797,0.15959724209892,1
3,18,0.883555819541621,0.939976499462418,0.0399764994624179,0.160023500537582,1
3,19,0.995161305355338,0.997577718954938,0.0975777189549384,0.102422281045062,1
3,20,0.990029670624537,0.995002347044738,0.0950023470447378,0.104997652955262,1
3,21,0.989019352575751,0.994494521139132,0.0944945211391316,0.105505478860868,1
3,22,0.988105472254666,0.994034945187877,0.0940349451878774,0.105965054812123,1
3,23,0.971692229324925,0.985744505094969,0.085744505094969,0.114255494905031,1
3,24,0.962327601778374,0.980982977313253,0.080982977313253,0.119017022686747,1
3,25,0.957667302043418,0.978604773155853,0.0786047731558526,0.121395226844147,1
3,26,0.929562886047315,0.964138416435791,0.064138416435791,0.135861583564209,1
3,27,0.926150173290133,0.962366963943657,0.0623669639436574,0.137633036056343,1
3,28,0.910925029812897,0.954423925628909,0.0544239256289091,0.145576074371091,1
3,29,0.89999347188967,0.948679857428032,0.0486798574280315,0.151320142571969,1
3,30,0.895265551164057,0.946184734163502,0.0461847341635022,0.153815265836498,1
3,31,0.889748706851261,0.943264918700606,0.0432649187006062,0.156735081299394,1
3,32,0.888535219077514,0.94262146118021,0.0426214611802099,0.15737853881979,1
3,33,0.888159284262483,0.942422030866471,0.0424220308664707,0.157577969133529,1
4,1,1,1,0.1,0.1,1
4,2,0.996004952940398,0.998000477424935,0.0980004774249348,0.101999522575065,1
4,3,0.97721491090252,0.988541810396768,0.0885418103967684,0.111458189603232,1
4,4,0.967370373877221,0.983549883776731,0.0835498837767312,0.116450116223269,1
4,5,0.957660719481075,0.978601409911653,0.078601409911653,0.121398590088347,1
