case,probe,start_h,duration_h,served_P_kW,shed_P_kW,served_Q_kvar,shed_Q_kvar,MFCV_H2_after_kg,station_H2_after_kg,error
CASE-4,DT_0.5H,1.2166666666667,0.5,90.0,0.0,43.58898943540673,6.411010564593269,7.545209066361181,"[62.80590758146651, 55.5009093832021, 33.3376415005701, 35.187225907795366]",
CASE-4,DT_2.2833H,1.2166666666667,2.2833333333333,80.2839416058406,9.716058394159404,38.88328758321996,11.11671241678004,1.7763568394002505e-15,"[40.15954169235054, 55.5009093832021, 33.3376415005701, 25.37859811467288]",
CASE-4,DT_0H,1.2166666666667,0.0,,,,,,,ZeroDivisionError: float division by zero
