iteration,LB
1,7667.86475738364
2,17782.668552035
3,53660.8667387793
4,54988.9320082851
5,55609.3566198681
6,56681.2560661616
7,58352.6963647731
8,58355.56005521
9,58803.5841968933
10,58912.1433268651
11,58912.1433268651
12,59245.4979662536
13,59306.75565012
14,59501.5884207919
15,59554.047707452
16,59653.6725834188
17,59653.6725834188
