check,observed,expected,tolerance,pass
source_rows,10000,10000,exact,True
termination_sum,10000,10000,exact,True
lf8_count,379,379,exact,True
stage7_count,6124,6124,exact,True
zero_target_count,5001,5001,exact,True
positive_target_count,1123,1123,exact,True
positive_target_gap_probability,0.42119323241317896,0.42119323241317896,1e-12,True
adequate_count,5651,5651,exact,True
surplus_identity,1.7621459846900002e-12,<=1e-07,1e-07,True
terminal_state_rows,35,35,exact,True
terminal_state_sample_sum,6124,6124,exact,True
site_shortfall_denominator,[473],[473],exact,True
mechanism_count_sum,473,473,exact,True
tail_count_sum,6124,6124,exact,True
tail_gap_contribution_sum,0.9999999999996999,1.0,1e-10,True
worst_case_path,3909,3909,exact,True
economics_mean,56192.3696759,56192.36967592455,1e-7,True
training_mixed_assessment,True,True,exact,True
summary_has_positive_target_rate,True,True,exact,True
readme_no_convergence_claim,True,True,exact,True
readme_no_penalty1500_start,True,True,exact,True
required_output_files,0,0,exact,True
figure_count,20,20,exact,True
figure_dimensions,True,True,exact,True
