role,relative_path,size_bytes,sha256
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_path_summary.csv,4203429,99ec55faba4e60e88b25d757deb1a8146515faf666d52979fe69c64362047502
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_summary.csv,6516901,969c373a9a2ff1b271cde6fda95a6fe8e64b10362518fe4b807c0dc86437c15d
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\path_summary\oos_stage_site_summary.csv,17769929,eab41bdf5d58fc971bc65af8c5745de3bd08cc25a0a4d44cc386aeba3f99c89e
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\hourly_site\oos_hour_site.csv,256068531,af3b3d5c4aa69e6d29b35a88008b4d82360c4b8391fc783141078f7ad68b0cda
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\grid_hourly\oos_hour_system.csv,45445479,b9eaa83ee3e8a720f3cb5afd5d54da050c2d3ef45c434efe74f8ba8b976b63c6
source,hourly_grid_h2\output\stage89q_penalty1000_vs1500_long_training\run-003\penalty1000\htt_od\oos_positive_htt_flows.csv,2157490,06a6586574a155eb4588cae691898b3ebda509a79e14e64c8453918b7262fe4a
source,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-002\02_training\penalty1000\training_progress.csv,96633,63cd8b874f55cb383046c594fbc377a81bf5a3610e5ff1a9c4bfa260f5f4c6f6
source,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\02_dissipation\preventive_inventory.csv,216818,db337991685b403ff202d25db52a08446eebd8d10f6e46e7833a6bb80686b4c1
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\01_path_accounting\path_termination_full_accounting.csv,410,fd7b5525968e9e38a16fa0bebd62d4ff7bcdc9c47388b31e39a0fea5092eae7c
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\02_stage7_adequate_surplus\stage7_adequate_surplus_summary.csv,757,4456fabf881d1db9761740ae29e0d719da647e7f9d9728ee08d7e2fc4cc8f926
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\02_stage7_adequate_surplus\stage7_site_surplus_summary.csv,1181,8433f70977f375810e3d19ced8b0bb8b47595c24ad2ada3aaf7a40e13ad9c59a
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\02_stage7_adequate_surplus\stage7_surplus_absolute_bins.csv,1437,26a3f9002869681e1a4cf3e1493c3e35c5158807a28fa6b0ab94459278728927
