check_id,description,passed,observed,expected
AUDIT-01,five states each contain 15000 main records,1,1,1
AUDIT-02,30000 base path-resistance scenarios completed,1,30000,30000
AUDIT-03,two modes report 60000 consequence records,1,60000,60000
AUDIT-04,M0 reproduces accepted Step-03E M0 metrics,1,4.54747350886464e-13,0
AUDIT-05,M1 draws independent q values for W1 W2 and W3,1,1,1
AUDIT-06,equal consecutive intensity levels still redraw hourly q,1,1,1
AUDIT-07,all sampled winds stay inside their intensity intervals,1,1,1
AUDIT-08,wind seeds are separate from resistance seeds,1,1,1
AUDIT-09,wind quantile draws reproduce from recorded seeds,1,1,1
AUDIT-10,paths and component resistance inputs match Step-03F,1,0,0
AUDIT-11,90000 stage-level wind draws are recorded,1,90000,90000
AUDIT-12,threshold audit covers both modes all stages and assets,1,360,360
AUDIT-13,no unobserved candidate is mixed into main records,1,0,0
AUDIT-14,D A and reachable C domains are valid,1,1,1
AUDIT-15,fixed and triangular wind definitions match the task,1,1,1
AUDIT-16,607.969887897881 kg-H2 upper bound is preserved,1,607.969887897881,607.969887897881
AUDIT-17,source inputs and formal mapping files remain unchanged,1,1,1
AUDIT-18,accepted old run directories remain unchanged,1,1,1
AUDIT-19,no WDRO Gurobi optimization or MSP calls,1,0,0
AUDIT-20,main sample SHA-256 remains accepted,1,972a8c58620c09ac19cfcfb29e8d6a3ed2819ef1a22dbd522043436418eb805d,972a8c58620c09ac19cfcfb29e8d6a3ed2819ef1a22dbd522043436418eb805d
