intensity_level,sample_count,minimum_mps,mean_mps,median_mps,q95_mps,maximum_mps,lower_bound_mps,mode_mps,upper_bound_mps
1,9660,0,0,0,0,0,0,0,0
2,27519,17.2294701346389,20.793402509578,20.7900966635936,23.2650917945922,24.3728694129837,17.2,20.8,24.4
3,6483,24.6028681123477,28.523031212316,28.5173173067347,31.2894880217892,32.497911854082,24.5,28.55,32.6
4,18033,32.7376118174786,37.0595942929912,37.0557377629511,40.0741899195348,41.3704015428007,32.7,37.05,41.4
5,24593,41.5259038690043,46.1784005076937,46.1708087155463,49.364987715095,50.8577700666476,41.5,46.2,50.9
6,3712,51.2069419956662,55.5386034037707,55.4991718881384,58.6817507187597,59.9292271075609,51,55.5,60
