a0,loc0,lfw0,seed_id,base_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
2,1,0,1,20260723,M0_FIXED,grid_line,W1,50,64000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,M0_FIXED,road_edge,W1,30,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,M0_FIXED,grid_line,W2,25,64000,468,0.0073125,0,0,0,0,37.0298103400651
2,1,0,1,20260723,M0_FIXED,grid_line,W2,50,64000,0,0,0,0,0,0,37.0298103400651
2,1,0,1,20260723,M0_FIXED,road_edge,W2,30,82000,203,0.00247560975609756,0,0,0,0,37.0298103400651
2,1,0,1,20260723,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,37.0298103400651
2,1,0,1,20260723,M0_FIXED,grid_line,W3,25,64000,916,0.0143125,0,0,0,0,45.4384160069741
2,1,0,1,20260723,M0_FIXED,grid_line,W3,50,64000,0,0,0,0,0,0,45.4384160069741
2,1,0,1,20260723,M0_FIXED,road_edge,W3,30,82000,535,0.00652439024390244,0,0,0,0,45.4384160069741
2,1,0,1,20260723,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,45.4384160069741
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,172,0.0026875,39,0.000609375,18,0.00028125,29.5520849652469
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,0,0,0,0,0,0,29.5520849652469
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,0,0,0,0,0,0,29.5520849652469
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,29.5520849652469
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,466,0.00728125,49,0.000765625,51,0.000796875,39.6220227990848
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,0,0,0,0,0,0,39.6220227990848
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,216,0.00263414634146341,26,0.000317073170731707,13,0.000158536585365854,39.6220227990848
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,39.6220227990848
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,942,0.01471875,96,0.0015,70,0.00109375,48.0730270206042
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,0,0,0,0,0,0,48.0730270206042
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,560,0.00682926829268293,63,0.000768292682926829,38,0.000463414634146341,48.0730270206042
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,48.0730270206042
4,4,0,1,20260723,M0_FIXED,grid_line,W1,25,64000,19848,0.310125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,grid_line,W1,50,64000,21,0.000328125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,road_edge,W1,30,82000,3927,0.047890243902439,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,grid_line,W2,25,64000,30549,0.477328125,0,0,0,0,55.214113197033
4,4,0,1,20260723,M0_FIXED,grid_line,W2,50,64000,33,0.000515625,0,0,0,0,55.214113197033
4,4,0,1,20260723,M0_FIXED,road_edge,W2,30,82000,20923,0.255158536585366,0,0,0,0,55.214113197033
4,4,0,1,20260723,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
4,4,0,1,20260723,M0_FIXED,grid_line,W3,25,64000,24176,0.37775,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,grid_line,W3,50,64000,31,0.000484375,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,road_edge,W3,30,82000,16052,0.195756097560976,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,19843,0.310046875,3020,0.0471875,3025,0.047265625,55.0205662749384
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,21,0.000328125,0,0,0,0,55.0205662749384
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,3866,0.0471463414634146,504,0.00614634146341463,565,0.00689024390243902,55.0205662749384
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,55.0205662749384
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,30603,0.478171875,1901,0.029703125,1847,0.028859375,56.3642833483062
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,31,0.000484375,1,1.5625e-05,3,4.6875e-05,56.3642833483062
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,20114,0.245292682926829,1226,0.0149512195121951,2035,0.0248170731707317,56.3642833483062
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,56.3642833483062
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,24246,0.37884375,1575,0.024609375,1505,0.023515625,57.8554600870886
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,36,0.0005625,5,7.8125e-05,0,0,57.8554600870886
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,15850,0.193292682926829,1166,0.014219512195122,1368,0.0166829268292683,57.8554600870886
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,57.8554600870886
