metric,M0_mean,M1_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,step3d_N2000_p95_absolute_error,shift_exceeds_existing_error,benchmark_definition
D_mean_kg,153.849821345771,155.874769295111,2.02494794934034,2.02494794934034,5.88279737064431,0,Step-03D N2000 p95 absolute error versus N15000
full_loss_probability,0.0346333333333333,0.0353666666666667,0.000733333333333329,0.000733333333333329,0.00919999999999999,0,Step-03D N2000 p95 absolute error versus N15000
A0_pair_share,0.059838468013468,0.0612824074074074,0.0014439393939394,0.0014439393939394,0.00627693602693874,0,Step-03D N2000 p95 absolute error versus N15000
C_reachable_mean_km,20.0351871925402,20.0497246942773,0.0145375017371698,0.0145375017371698,0.0940340462692255,0,Step-03D N2000 p95 absolute error versus N15000
W3_failed_lines_mean,4.48506666666667,4.5695,0.0844333333333331,0.0844333333333331,0.230966666666667,0,Step-03D N2000 p95 absolute error versus N15000
W3_closed_roads_mean,2.32696666666667,2.39303333333333,0.0660666666666669,0.0660666666666669,0.198633333333333,0,Step-03D N2000 p95 absolute error versus N15000
