a0,loc0,lfw0,seed_id,base_seed,mode,stage,metric,M0_mean,M1_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,0.309440034912582,0.326759948722145,0.0173199138095628,0.05086872323596,0,0,0,-33.5488094263972,68.1886370455227,0.001
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0.000276515151515152,6.06060606060606e-05,-0.000215909090909091,0.000215909090909091,0,0,0,-0.431818181818182,0,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,19.0187281293053,19.0218348141697,0.00310668486440481,0.00310668486440481,0,0,0,0,5.33704869355623,0.0025
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,0.017,0.016,-0.001,0.004,0,0,0,-2,2,0.0025
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,0.0105,0.0075,-0.003,0.004,0,0,0,-7,1,0.001
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,0.555464637372828,0.646428279191555,0.0909636418187273,0.145787306003328,0,0,0,-33.5488094263972,106.91978288738,0.003
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.000431818181818182,0.000215909090909091,-0.000215909090909091,0.000215909090909091,0,0,0,-0.431818181818182,0,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,19.020510075157,19.0246222557764,0.00411218061945171,0.00417761104711588,0,0,0,-0.0654304276641682,5.33704869355623,0.005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,0.028,0.03,0.002,0.008,0,0,0,-2,3,0.005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,0.015,0.012,-0.003,0.004,0,0,0,-7,1,0.001
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,2.86064970133377,3.23773286419551,0.377083162861741,0.589286201347407,0,0,0,-128.740146741947,202.656629299294,0.0105
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.000196969696969697,0.000311868686868687,0.00011489898989899,0.00011489898989899,0,0,0,0,0.118686868686869,0.003
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.99980303030303,0.999688131313131,-0.00011489898989899,0.00011489898989899,0,0,0,-0.118686868686869,0,0.003
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,19.0250545335282,19.0312514199623,0.0061968864340772,0.00859547731565385,0,0,0,-1.15918542819021,4.11199456558644,0.015
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W1,D_W1,0.0920546600114557,0.0969642418787333,0.00490958186727764,0.00981916373455527,0,0,0,-4.90958186727764,14.7287456018329,0.001
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W1,A0_W1,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W1,C_W1,19.013761888799,19.013761888799,0,0,0,0,0,0,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W1,failed_W1,0.003,0.0035,0.0005,0.0015,0,0,0,-1,1,0.0015
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W1,closed_W1,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,0.733846111883916,0.793033848839429,0.0591877369555137,0.161197937975616,0,0,0,-64.3700733709734,47.1865368355017,0.0045
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0,7.57575757575757e-05,7.57575757575757e-05,7.57575757575757e-05,0,0,0,0,0.0909090909090909,0.001
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,19.0233566650349,19.0296632917935,0.00630662675865848,0.00679893002897289,0,0,0,-0.309217423903874,6.16931512805436,0.005
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,0.0295,0.0335,0.004,0.009,0,0,0,-2,4,0.005
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,0.005,0.009,0.004,0.004,0,0,0,0,5,0.0015
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,2.0347489294384,2.34773477347735,0.312985844038949,0.418269099637236,0,0,0,-64.3700733709734,202.656629299294,0.0095
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.000590909090909091,0.000859848484848485,0.000268939393939394,0.000268939393939394,0,0,0,0,0.356060606060606,0.0025
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,19.034680776965,19.0476361924896,0.0129554155246129,0.0199853917440432,0,0,0,-3.80406312958537,8.02507149114229,0.015
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,0.0835,0.1,0.0165,0.0245,0,0,0,-2,4,0.014
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,0.0275,0.0365,0.009,0.013,0,0,0,-3,5,0.0055
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,160.944821754903,163.246051877915,2.3012301230123,27.0665248343016,-87.2814554182691,0,103.919482857377,-532.689632599624,563.783651092382,0.3755
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0.0155,0.015,-0.0005,0.0075,0,0,0,-1,1,0.0075
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.0416300505050505,0.0423573232323232,0.000727272727272727,0.0110681818181818,-0.0151515151515151,0,0.0176767676767677,-0.373737373737374,0.358585858585859,0.1355
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.95836994949495,0.957642676767677,-0.000727272727272728,0.0110681818181818,-0.0176767676767677,0,0.0151515151515151,-0.358585858585859,0.373737373737374,0.1355
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,19.905971753735,19.9146380660877,0.00866631235265603,0.368820934646179,-1.08323728114472,0,1.09147016799453,-12.4615286152249,8.07488677484944,0.5465
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,D_W1,17.4126503559447,18.2963750920547,0.883724736109974,7.95897771595342,-19.6383274691105,0,33.5488094263972,-202.656629299294,202.656629299294,0.176
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,A0_W1,0.00740909090909091,0.00776515151515151,0.000356060606060606,0.00260606060606061,0,0,0,-0.522727272727273,0.348484848484849,0.0135
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,C_W1,19.1438193487836,19.1163570085608,-0.0274623402228893,0.0765516096955326,0,0,0.00880679424617981,-12.4615286152249,8.55410483915514,0.1225
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,failed_W1,0.78,0.8105,0.0305,0.3225,-1,0,1,-6,6,0.2085
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,closed_W1,0.1665,0.162,-0.0045,0.0445,0,0,0,-3,4,0.03
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,62.6922237678312,63.4240242206038,0.73180045277255,9.73160952458883,-33.5488094263972,0,36.8218640045823,-202.656629299294,202.656629299294,0.228
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0.0465454545454546,0.0474166666666667,0.000871212121212122,0.0136818181818182,0,0,0,-0.560606060606061,0.537878787878788,0.089
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,20.072088714353,20.071104893335,-0.000983821018026894,0.478083197588795,-1.21515376905748,0,1.22188500919941,-15.3458510185901,15.1570856813906,0.4355
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,3.3245,3.3795,0.055,0.683,-2,0,2,-8,7,0.3745
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,1.3075,1.333,0.0255,0.3515,-1,0,1,-5,8,0.1985
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,80.8399476311267,81.5256525652565,0.685704934129777,11.035103510351,-38.4583912936748,0,40.3676731309495,-202.656629299294,202.656629299294,0.247
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.0709356060606061,0.0718901515151516,0.000954545454545455,0.0177272727272727,-0.0227272727272727,0,0.0303030303030303,-0.621212121212121,0.606060606060606,0.1265
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,20.5674529157542,20.6302815253909,0.0628286096367376,0.702609451658246,-1.6723808765695,0,2.20671757984122,-25.8403928727804,21.4519920801876,0.5465
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,4.5265,4.625,0.0985,0.8145,-2,0,3,-8,7,0.444
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,1.952,2.0095,0.0575,0.4595,-2,0,2,-7,10,0.255
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,257.574121048468,264.942585167608,7.36846411913919,29.8325287074162,-74.1892371055287,0,120.01200120012,-383.765649292202,607.969887897881,0.412
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0.0565,0.0635,0.007,0.014,0,0,0,-1,1,0.014
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.106661616161616,0.109356060606061,0.00269444444444444,0.0226969696969697,-0.0757575757575758,0,0.0934343434343434,-0.5,0.598484848484849,0.247
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.893338383838384,0.89064393939394,-0.00269444444444444,0.0226969696969697,-0.095959595959596,0,0.0757575757575757,-0.598484848484849,0.5,0.247
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,20.839743423667,20.8829490922241,0.043205668557122,0.687212858948919,-2.0486274960005,0,2.14380300072742,-13.4008531430353,13.0296206986814,0.712
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W1,D_W1,60.5521915827945,62.335324441535,1.78313285874042,9.86430461227942,-30.2757548482121,0,45.8227640945913,-202.656629299294,202.656629299294,0.2315
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W1,A0_W1,0.0372727272727273,0.0396818181818182,0.00240909090909091,0.0111893939393939,0,0,0,-0.416666666666667,0.598484848484849,0.06
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W1,C_W1,19.9876811608607,20.0360724974029,0.048391336542229,0.366525873826573,-0.658671842980965,0,1.06795153769017,-13.2825188254533,13.1502158014038,0.454
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W1,failed_W1,3.062,3.1295,0.0675,0.5975,-2,0,2,-7,5,0.3535
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W1,closed_W1,0.886,0.944,0.058,0.244,-1,0,1,-4,5,0.1555
