a0,loc0,lfw0,seed_id,base_seed,metric,M0_value,step3e_M0_value,absolute_difference,match_within_1e_12
5,4,0,1,20260723,D_mean_kg,341.05474183782,341.05474183782,1.13686837721616e-13,1
5,4,0,1,20260723,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,1,20260723,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,1,20260723,full_loss_probability,0.0905,0.0905,0,1
5,4,0,1,20260723,A0_pair_share,0.142176767676768,0.142176767676768,1.94289029309402e-16,1
5,4,0,1,20260723,reachable_pair_share,0.857823232323233,0.857823232323233,2.22044604925031e-16,1
5,4,0,1,20260723,C_reachable_mean_km,21.3679207119931,21.3679207119931,3.90798504668055e-14,1
5,4,0,1,20260723,C_reachable_q95_km,27.0707095053167,27.0707095053167,0,1
5,4,0,1,20260723,W3_failed_lines_mean,10.0335,10.0335,0,1
5,4,0,1,20260723,W3_failed_lines_q95,21,21,0,1
5,4,0,1,20260723,W3_closed_roads_mean,5.4405,5.4405,0,1
5,4,0,1,20260723,W3_closed_roads_q95,16,16,0,1
5,4,0,2,20260724,D_mean_kg,343.715053323514,343.715053323514,2.27373675443232e-13,1
5,4,0,2,20260724,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,2,20260724,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,2,20260724,full_loss_probability,0.097,0.097,0,1
5,4,0,2,20260724,A0_pair_share,0.151020202020202,0.151020202020202,1.11022302462516e-16,1
5,4,0,2,20260724,reachable_pair_share,0.848979797979799,0.848979797979799,3.33066907387547e-16,1
5,4,0,2,20260724,C_reachable_mean_km,21.5055367728178,21.5055367728178,2.1316282072803e-14,1
5,4,0,2,20260724,C_reachable_q95_km,27.885752600134,27.885752600134,1.06581410364015e-14,1
5,4,0,2,20260724,W3_failed_lines_mean,10.206,10.206,0,1
5,4,0,2,20260724,W3_failed_lines_q95,22,22,0,1
5,4,0,2,20260724,W3_closed_roads_mean,5.7575,5.7575,0,1
5,4,0,2,20260724,W3_closed_roads_q95,15,15,0,1
5,4,0,3,20260725,D_mean_kg,342.114529634781,342.114529634781,4.54747350886464e-13,1
5,4,0,3,20260725,D_q95_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,3,20260725,D_q99_kg,607.969887897881,607.969887897881,3.41060513164848e-13,1
5,4,0,3,20260725,full_loss_probability,0.0955,0.0955,0,1
5,4,0,3,20260725,A0_pair_share,0.144843434343434,0.144843434343434,4.71844785465692e-16,1
5,4,0,3,20260725,reachable_pair_share,0.855156565656566,0.855156565656566,2.22044604925031e-16,1
5,4,0,3,20260725,C_reachable_mean_km,21.4013913450618,21.4013913450618,1.06581410364015e-14,1
5,4,0,3,20260725,C_reachable_q95_km,27.475006501138,27.475006501138,1.06581410364015e-14,1
5,4,0,3,20260725,W3_failed_lines_mean,9.9825,9.9825,0,1
5,4,0,3,20260725,W3_failed_lines_q95,21,21,0,1
