a0,loc0,lfw0,seed_id,base_seed,mode,record_count,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count
5,4,0,1,20260723,M0_FIXED,2000,341.05474183782,607.969887897881,607.969887897881,0.0905,0.142176767676768,0.857823232323233,21.3679207119931,27.0707095053167,10.0335,21,5.4405,16,0.0905,0,607.969887897881,0,0
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,2000,342.523115947958,607.969887897881,607.969887897881,0.0905,0.145065656565657,0.854934343434344,21.4818128599242,27.6784902978461,10.0705,22,5.58,16,0.0905,0,607.969887897881,0,0
2,6,0,1,20260723,M0_FIXED,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,2000,0.973188227913701,0,0,0,9.21717171717172e-05,0.999907828282828,19.0199418153583,19.0137618887991,0.03,0,0.012,0,0,0,394.403076671303,0,0
2,1,0,1,20260723,M0_FIXED,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,0,498.32255952868,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,2000,3.23773286419551,0,138.28655592832,0,0.000311868686868687,0.999688131313131,19.0312514199623,19.0137618887991,0.1,0,0.0365,0,0,0,498.32255952868,0,0
4,4,0,1,20260723,M0_FIXED,2000,160.944821754903,486.866868505032,607.969887897881,0.0155,0.0416300505050505,0.95836994949495,19.905971753735,23.2312280000968,4.5265,16,1.952,10,0.0155,0,607.969887897881,0,0
4,4,0,1,20260723,M1_STAGEWISE_RANDOM,2000,163.246051877915,482.230041185937,607.969887897881,0.015,0.0423573232323232,0.957642676767677,19.9146380660877,23.5041127766794,4.625,16,2.0095,10,0.015,0,607.969887897881,0,0
6,7,0,1,20260723,M0_FIXED,2000,257.574121048468,607.969887897881,607.969887897881,0.0565,0.106661616161616,0.893338383838384,20.839743423667,27.4475286337876,7.571,21,3.919,16,0.0565,0,607.969887897881,0,0
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,2000,264.942585167608,607.969887897881,607.969887897881,0.0635,0.109356060606061,0.89064393939394,20.8829490922241,27.739812396558,7.716,22,4.0785,16,0.0635,0,607.969887897881,0,0
5,4,0,2,20260724,M0_FIXED,2000,343.715053323514,607.969887897881,607.969887897881,0.097,0.151020202020202,0.848979797979799,21.5055367728178,27.885752600134,10.206,22,5.7575,15,0.097,0,607.969887897881,0,0
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,2000,346.097564301884,607.969887897881,607.969887897881,0.0995,0.152786616161616,0.847213383838384,21.5527560020261,27.7443387919125,10.4105,23,5.883,16,0.0995,0,607.969887897881,0,0
2,6,0,2,20260724,M0_FIXED,2000,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,2000,1.72217221722172,0,16.3652728909255,0,0.000390151515151515,0.999609848484849,19.0207939759625,19.0137618887991,0.0595,0,0.0205,0,0,0,399.312658538581,0,0
2,1,0,2,20260724,M0_FIXED,2000,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0228851364996,19.0137618887991,0.074,0,0.0315,0,0,0,405.313258598587,0,0
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,2000,2.65049232195947,0,112.102119302839,0,0.000568181818181818,0.999431818181818,19.0226711742243,19.0137618887991,0.08,0,0.032,0,0,0,405.313258598587,0,0
4,4,0,2,20260724,M0_FIXED,2000,158.006300630063,473.774650192292,607.969887897881,0.019,0.0407222222222222,0.959277777777778,19.8561692713784,23.0353164962868,4.49,16,1.963,10,0.019,0,607.969887897881,0,0
4,4,0,2,20260724,M1_STAGEWISE_RANDOM,2000,160.456863868205,485.23034121594,607.969887897881,0.02,0.043574494949495,0.956425505050505,19.8363550790312,23.1270843639062,4.6025,16,2.029,10,0.02,0,607.969887897881,0,0
6,7,0,2,20260724,M0_FIXED,2000,267.936475465728,607.969887897881,607.969887897881,0.059,0.110335858585859,0.889664141414142,20.7858225870161,26.9874863633797,7.767,21,4.0765,15,0.059,0,607.969887897881,0,0
6,7,0,2,20260724,M1_STAGEWISE_RANDOM,2000,271.110520142923,607.969887897881,607.969887897881,0.062,0.112400252525253,0.887599747474748,20.7992595403968,27.1191613415043,7.923,22,4.18,16,0.062,0,607.969887897881,0,0
5,4,0,3,20260725,M0_FIXED,2000,342.114529634781,607.969887897881,607.969887897881,0.0955,0.144843434343434,0.855156565656566,21.4013913450618,27.475006501138,9.9825,21,5.4695,15,0.0955,0,607.969887897881,0,0
5,4,0,3,20260725,M1_STAGEWISE_RANDOM,2000,346.065242887925,607.969887897881,607.969887897881,0.099,0.152263888888889,0.847736111111111,21.4074612573351,27.8938962704175,10.2765,23,5.7135,16,0.099,0,607.969887897881,0,0
2,6,0,3,20260725,M0_FIXED,2000,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0
2,6,0,3,20260725,M1_STAGEWISE_RANDOM,2000,1.89196192346507,0,42.5497095164062,0,0.000575757575757576,0.999424242424243,19.0213828040426,19.0137618887991,0.07,0,0.023,0,0,0,405.313258598587,0,0
2,1,0,3,20260725,M0_FIXED,2000,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0
2,1,0,3,20260725,M1_STAGEWISE_RANDOM,2000,3.39361208848158,0,102.282955568284,0.0005,0.000592171717171717,0.999407828282828,19.0304511067973,19.0137618887991,0.0785,0,0.034,0,0.0005,0,607.969887897881,0,0
4,4,0,3,20260725,M0_FIXED,2000,161.6954422715,509.778250552328,607.969887897881,0.021,0.0467474747474748,0.953252525252526,19.8886296827093,23.5399495467879,4.7135,18,2.107,11,0.021,0,607.969887897881,0,0
4,4,0,3,20260725,M1_STAGEWISE_RANDOM,2000,167.289774431989,522.324959768704,607.969887897881,0.019,0.0461919191919192,0.953808080808081,19.8952199333531,23.4060490038546,4.823,18,2.1525,11,0.019,0,607.969887897881,0,0
6,7,0,3,20260725,M0_FIXED,2000,261.402913018575,607.969887897881,607.969887897881,0.065,0.11110101010101,0.88889898989899,20.8405382024422,27.4227992530246,7.591,22,4.0685,15,0.065,0,607.969887897881,0,0
6,7,0,3,20260725,M1_STAGEWISE_RANDOM,2000,262.520661157025,607.969887897881,607.969887897881,0.0615,0.112709595959596,0.887290404040404,20.8289262874346,27.1782396557436,7.6775,22,4.1115,16,0.0615,0,607.969887897881,0,0
