candidate,Pmax_vector,iterations,runtime_s,cut_count,final_LB,Stage1_production_kg,Stage1_site_production_kg,Stage1_ending_inventory_kg,stage1_6_production_kg,late_production_share,final16h_production_kg,final8h_production_kg,added_Pmax_used,tank_saturation_hits,ordinary_shortage_kg,HTT_kg,HTT_max_utilization,Vmin_pu,bus18_Vmin_pu,voltage_binding,max_line_utilization,line_binding,max_substation_utilization,substation_binding,checkpoint_reload,warnings,new_blocking_issue,comparison_scope
ARM-B0001,[300 200 120 187.5],10,484.3471524,10510,56157.5430604332,115.83,"[46.8, 23.4, 16.38, 29.25]",243.457481134483,"[115.83, 0.0, 13.40625, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True,0,0.0,4.35786655769067,0.0272366659855667,0.911291328897434,0.911291328897434,False,0.746934402930928,False,0.816724869100835,False,True,0,False,ENGINEERING / EARLY-MECHANISM SIGNAL ONLY
ARM-B1011,[375 200 150 187.5],10,473.7928188,10510,55743.1182680294,117.73125,"[51.1875, 23.4, 17.55, 25.59375]",245.358731134483,"[117.73125, 0.0, 14.86875, 0.0, 0.0, 0.0]",0.0,0.0,0.0,True,0,0.0,3.18786655769067,0.0199241659855667,0.908954710121679,0.908954710121679,False,0.758080473266822,False,0.832082612372607,False,True,0,False,ENGINEERING / EARLY-MECHANISM SIGNAL ONLY
