scope,origin_site,destination_site,flow_row_count,path_count,total_HTT_kg,helpful_HTT_kg,helpful_HTT_fraction,non_helpful_HTT_kg
全部正HTT流,,,8136,3500,74259.0312804,8195.65052502,0.110365707493,66063.3807554
Stage7不足路径,,,1553,407,19560.363199,4186.68596644,0.214039275439,15373.6772326
纯位置不足路径,,,738,177,10578.9855548,3121.14426643,0.295032472656,7457.84128838
混合不足路径,,,493,137,5684.43523884,912.748956657,0.160569857568,4771.68628218
Stage7路径最后16小时,,,6914,3070,61574.7245149,7353.1245511,0.119417904165,54221.5999638
Stage7路径最后8小时,,,4706,2627,38539.110449,4400.17583406,0.11417429678,34138.934615
Stage7不足路径最后16小时,,,1402,407,17174.3264665,3947.30127502,0.229837326239,13227.0251915
Stage7不足路径最后8小时,,,875,377,10231.0728393,2572.60214424,0.251449890412,7658.47069503
OD流向,1,2,73,70,900.206080876,136.263669262,0.151369416577,763.942411615
OD流向,1,3,91,78,994.376632637,376.174997905,0.378302330885,618.201634733
OD流向,1,4,245,233,3931.25213528,809.050533578,0.205799705981,3122.2016017
OD流向,2,1,944,878,12042.4205124,1286.04919909,0.1067932479,10756.3713133
OD流向,2,3,2708,2529,10530.1966686,966.478306037,0.0917816007106,9563.71836251
OD流向,2,4,1496,1365,13776.1027083,2074.15499614,0.150561812732,11701.9477121
OD流向,3,1,1599,1145,22373.3425935,1773.22965272,0.0792563581102,20600.1129408
OD流向,3,2,334,301,2606.54813537,45.714037079,0.0175381518794,2560.83409829
OD流向,3,4,425,403,5538.33545264,669.35671433,0.120858824832,4868.97873831
OD流向,4,1,180,179,1365.90880095,33.7344278484,0.0246974233015,1332.17437311
OD流向,4,2,32,32,160.382364212,23.8303359924,0.148584516193,136.55202822
OD流向,4,3,9,9,39.9591957266,1.61365503599,0.0403825704358,38.3455406907
