key,value
B0001_PMAX_PROPAGATION,PASS
B1011_PMAX_PROPAGATION,PASS
B0001_SMOKE_STATUS,PASS
B1011_SMOKE_STATUS,PASS
NEW_BLOCKING_ISSUE_B0001,NO
NEW_BLOCKING_ISSUE_B1011,NO
EARLY_WAIT_AND_SEE_SIGNAL_B0001,NOT_IDENTIFIABLE
EARLY_WAIT_AND_SEE_SIGNAL_B1011,NOT_IDENTIFIABLE
NEW_GRID_RISK_B0001,NO
NEW_GRID_RISK_B1011,NO
RECOMMEND_LONG_TRAINING,BOTH
