node,P_node_load_kw,P_critical_base_kw_if_available,critical_to_node_ratio,H_node_load_kg,H_node_critical_kg_if_available,terminal_load_mode
1,0,0,NaN,0,0,node_load
2,100,10,0.1,43.6407277091345,4.36407277091345,node_load
3,90,9,0.1,39.2766549382211,3.92766549382211,node_load
4,120,12,0.1,52.3688732509615,5.23688732509615,node_load
5,60,6,0.1,26.1844366254807,2.61844366254807,node_load
6,60,6,0.1,26.1844366254807,2.61844366254807,node_load
7,200,20,0.1,87.2814554182691,8.72814554182691,node_load
8,200,20,0.1,87.2814554182691,8.72814554182691,node_load
9,60,6,0.1,26.1844366254807,2.61844366254807,node_load
10,60,6,0.1,26.1844366254807,2.61844366254807,node_load
11,45,4.5,0.1,19.6383274691105,1.96383274691105,node_load
12,60,6,0.1,26.1844366254807,2.61844366254807,node_load
13,60,6,0.1,26.1844366254807,2.61844366254807,node_load
14,120,12,0.1,52.3688732509615,5.23688732509615,node_load
15,60,6,0.1,26.1844366254807,2.61844366254807,node_load
16,60,6,0.1,26.1844366254807,2.61844366254807,node_load
17,60,6,0.1,26.1844366254807,2.61844366254807,node_load
18,90,9,0.1,39.2766549382211,3.92766549382211,node_load
19,90,9,0.1,39.2766549382211,3.92766549382211,node_load
20,90,9,0.1,39.2766549382211,3.92766549382211,node_load
21,90,9,0.1,39.2766549382211,3.92766549382211,node_load
22,90,9,0.1,39.2766549382211,3.92766549382211,node_load
23,90,9,0.1,39.2766549382211,3.92766549382211,node_load
24,420,42,0.1,183.291056378365,18.3291056378365,node_load
25,420,42,0.1,183.291056378365,18.3291056378365,node_load
26,60,6,0.1,26.1844366254807,2.61844366254807,node_load
27,60,6,0.1,26.1844366254807,2.61844366254807,node_load
28,60,6,0.1,26.1844366254807,2.61844366254807,node_load
29,120,12,0.1,52.3688732509615,5.23688732509615,node_load
30,200,20,0.1,87.2814554182691,8.72814554182691,node_load
31,150,15,0.1,65.4610915637018,6.54610915637018,node_load
32,210,21,0.1,91.6455281891825,9.16455281891825,node_load
33,60,6,0.1,26.1844366254807,2.61844366254807,node_load
NaN,3715,371.5,0.1,1621.25303439435,162.125303439435,summary
