state_id,historical_objective,reconstructed_objective,historical_preparation_cost,reconstructed_preparation_cost,historical_empirical_expected_recourse,reconstructed_empirical_expected_recourse,historical_status,reconstructed_status,historical_probability_qa,reconstructed_probability_qa,historical_duration_qa,reconstructed_duration_qa,historical_inventory_qa,reconstructed_inventory_qa,historical_demand_balance_qa,reconstructed_demand_balance_qa,historical_fc_capacity_qa,reconstructed_fc_capacity_qa
1,158.85333333333259,158.85333333333259,nan,nan,158.85333333333335,158.85333333333335,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
2,198.08833333333243,198.08833333333243,nan,nan,198.08833333333337,198.08833333333337,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
3,277.9233333333321,277.9233333333321,nan,nan,277.92333333333335,277.92333333333335,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
4,247.16999999999948,247.16999999999948,nan,nan,247.17000000000002,247.17000000000002,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
5,100.70666666666659,100.70666666666659,nan,nan,100.70666666666665,100.70666666666665,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
6,18.2,18.2,nan,nan,18.199999999999996,18.199999999999996,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
7,22.983333333333324,22.983333333333324,nan,nan,22.98333333333334,22.98333333333334,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
8,3774.333071324646,3774.333071324646,nan,nan,3401.7783333333327,3401.7783333333327,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
9,4661.083248076272,4661.083248076272,nan,nan,3862.7516666666666,3862.7516666666666,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
10,4421.031144208218,4421.031144208218,nan,nan,3170.311666666666,3170.311666666666,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
11,4912.710530254961,4912.710530254961,nan,nan,3635.379999999999,3635.379999999999,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
12,2181.8920178311146,2181.8920178311146,nan,nan,2088.7533333333326,2088.7533333333326,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
13,702.5200000000215,702.5200000000215,nan,nan,702.52,702.52,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
14,81.11833333333341,81.11833333333341,nan,nan,81.1183333333333,81.1183333333333,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
15,12858.871080267283,12858.871080267283,nan,nan,3899.8166666666657,3899.8166666666657,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
