case,interval_start_h,interval_end_h,duration_h,row_type,station_site,station_bus,H2_before_kg,transfer_in_kg,transfer_out_kg,fixed_FC_H2_use_kg,H2_use_kg,H2_after_kg,actual_P_kW,actual_Q_kvar
CASE-1,0.0,0.0,0.0,TRANSFER_EVENT,1,24,100.0,0.0,30.0,0.0,0.0,70.0,0.0,0.0
CASE-2,0.0,0.0,0.0,TRANSFER_EVENT,1,24,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CASE-3,0.0,0.0,0.0,TRANSFER_EVENT,1,24,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
CASE-4,0.0,0.0,0.0,TRANSFER_EVENT,1,24,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
CASE-4,0.325,0.325,0.0,TRANSFER_EVENT,2,14,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0
CASE-5,0.0,0.0,0.0,TRANSFER_EVENT,2,14,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0
CASE-6,0.0,0.0,0.0,TRANSFER_EVENT,1,24,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
CASE-6,0.325,0.325,0.0,TRANSFER_EVENT,2,14,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0
CASE-6,0.55,0.55,0.0,TRANSFER_EVENT,3,18,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
CASE-7,0.0,0.0,0.0,TRANSFER_EVENT,1,24,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
CASE-7,0.0,0.0,0.0,TRANSFER_EVENT,3,18,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
CASE-7,0.25,0.25,0.0,TRANSFER_EVENT,4,31,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0
CASE-7,0.325,0.325,0.0,TRANSFER_EVENT,2,14,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0
CASE-8,0.0,0.0,0.0,TRANSFER_EVENT,1,24,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CASE-8,0.0,0.0,0.0,TRANSFER_EVENT,1,24,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CASE-10,0.0,0.0,0.0,TRANSFER_EVENT,2,14,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
CASE-10,1.2166666666667,1.2166666666667,0.0,TRANSFER_EVENT,1,24,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
