case,interval_start_h,interval_end_h,duration_h,vehicle_id,state,current_node,cargo_H2_before_kg,load_kg,unload_kg,cargo_H2_after_kg,P_HTT_kW,Q_HTT_kvar
CASE-1,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,30.0,0.0,30.0,0.0,0.0
CASE-2,0.0,0.0,0.0,1,TRANSFER_EVENT,24,70.0,0.0,0.0,70.0,0.0,0.0
CASE-3,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-4,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,40.0,0.0,40.0,0.0,0.0
CASE-4,0.0,0.325,0.325,1,MOVING,,40.0,0.0,0.0,40.0,0.0,0.0
CASE-4,0.325,0.325,0.0,1,TRANSFER_EVENT,14,40.0,0.0,40.0,0.0,0.0,0.0
CASE-5,0.0,0.0,0.0,1,TRANSFER_EVENT,14,80.0,0.0,30.0,50.0,0.0,0.0
CASE-6,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,80.0,0.0,80.0,0.0,0.0
CASE-6,0.0,0.325,0.325,1,MOVING,,80.0,0.0,0.0,80.0,0.0,0.0
CASE-6,0.325,0.325,0.0,1,TRANSFER_EVENT,14,80.0,0.0,30.0,50.0,0.0,0.0
CASE-6,0.325,0.5,0.175,1,MOVING,,50.0,0.0,0.0,50.0,0.0,0.0
CASE-6,0.5,0.55,0.050000000000000044,1,MOVING,,50.0,0.0,0.0,50.0,0.0,0.0
CASE-6,0.55,0.55,0.0,1,TRANSFER_EVENT,18,50.0,0.0,20.0,30.0,0.0,0.0
CASE-7,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,20.0,0.0,20.0,0.0,0.0
CASE-7,0.0,0.25,0.25,1,MOVING,,20.0,0.0,0.0,20.0,0.0,0.0
CASE-7,0.25,0.325,0.07500000000000001,1,MOVING,,20.0,0.0,0.0,20.0,0.0,0.0
CASE-7,0.325,0.325,0.0,1,TRANSFER_EVENT,14,20.0,0.0,20.0,0.0,0.0,0.0
CASE-7,0.0,0.0,0.0,2,TRANSFER_EVENT,18,0.0,30.0,0.0,30.0,0.0,0.0
CASE-7,0.0,0.25,0.25,2,MOVING,,30.0,0.0,0.0,30.0,0.0,0.0
CASE-7,0.25,0.25,0.0,2,TRANSFER_EVENT,31,30.0,0.0,30.0,0.0,0.0,0.0
CASE-8,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-8,0.0,0.0,0.0,2,TRANSFER_EVENT,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-9,1.4,1.5,0.10000000000000009,1,MOVING,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-9,1.5,1.7249999999999999,0.22499999999999987,1,MOVING,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-9,1.7249999999999999,1.95,0.2250000000000001,1,MOVING,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-9,1.95,2.0,0.050000000000000044,1,MOVING,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-9,2.0,2.175,0.17499999999999982,1,MOVING,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10,0.0,0.0,0.0,1,TRANSFER_EVENT,14,0.0,40.0,0.0,40.0,0.0,0.0
CASE-10,0.0,0.5,0.5,1,MOVING,,40.0,0.0,0.0,40.0,0.0,0.0
CASE-10,0.5,1.0,0.5,1,MOVING,,40.0,0.0,0.0,40.0,0.0,0.0
CASE-10,1.0,1.2166666666667,0.2166666666667001,1,MOVING,,40.0,0.0,0.0,40.0,0.0,0.0
CASE-10,1.2166666666667,1.2166666666667,0.0,1,TRANSFER_EVENT,24,40.0,0.0,40.0,0.0,0.0,0.0
CASE-12,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,10.0,0.0,10.0,0.0,0.0
CASE-12,0.0,0.325,0.325,1,MOVING,,10.0,0.0,0.0,10.0,0.0,0.0
CASE-12,0.325,0.325,0.0,1,TRANSFER_EVENT,,10.0,0.0,0.0,10.0,0.0,0.0
CASE-13,0.0,0.0,0.0,1,TRANSFER_EVENT,24,0.0,10.0,0.0,10.0,0.0,0.0
CASE-13,0.0,0.325,0.325,1,MOVING,,10.0,0.0,0.0,10.0,0.0,0.0
CASE-13,0.325,0.325,0.0,1,TRANSFER_EVENT,14,10.0,0.0,10.0,0.0,0.0,0.0
