case,time_h,vehicle_id,event,node,status,detail,road_state,kind,requested_at_h,source_engine,edge_id,from_node,to_node,route_edges,weight_km,arrival_h
CASE-1,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-2,0.0,1,STATION_TO_HTT,24,INFEASIBLE_GIVEN_ACTION,HTT_CAPACITY_EXCEEDED,,,,,,,,,,
CASE-3,0.0,1,STATION_TO_HTT,24,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,,,,,,,,,,
CASE-4,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-4,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-4,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,24.0,14.0,[1],13.0,0.325
CASE-4,0.325,1,EDGE_ARRIVAL,14,,,W0,,,B3 Simulator,1.0,,,,,
CASE-4,0.325,1,MOVE_COMPLETE,14,,,W0,,,B3 Simulator,,,,,,
CASE-4,0.325,1,HTT_TO_STATION,14,TRANSFERRED,,,,,,,,,,,
CASE-5,0.0,1,HTT_TO_STATION,14,TRANSFERRED,,,,,,,,,,,
CASE-6,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-6,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-6,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,24.0,14.0,[1],13.0,0.325
CASE-6,0.325,1,EDGE_ARRIVAL,14,,,W0,,,B3 Simulator,1.0,,,,,
CASE-6,0.325,1,MOVE_COMPLETE,14,,,W0,,,B3 Simulator,,,,,,
CASE-6,0.325,1,HTT_TO_STATION,14,TRANSFERRED,,,,,,,,,,,
CASE-6,0.325,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-6,0.325,1,EDGE_ENTER,,,,W0,,,B3 Simulator,2.0,14.0,18.0,[2],9.0,0.55
CASE-6,0.55,1,EDGE_ARRIVAL,18,,,W0,,,B3 Simulator,2.0,,,,,
CASE-6,0.55,1,MOVE_COMPLETE,18,,,W0,,,B3 Simulator,,,,,,
CASE-6,0.55,1,HTT_TO_STATION,18,TRANSFERRED,,,,,,,,,,,
CASE-7,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-7,0.0,2,STATION_TO_HTT,18,TRANSFERRED,,,,,,,,,,,
CASE-7,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-7,0.0,2,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-7,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,24.0,14.0,[1],13.0,0.325
CASE-7,0.0,2,EDGE_ENTER,,,,W0,,,B3 Simulator,2.0,18.0,31.0,[2],10.0,0.25
