case,interval_start_h,interval_end_h,duration_h,row_type,vehicle_id,bus,H2_before_kg,station_refuel_kg,H2_use_kg,H2_after_kg,actual_P_kW,actual_Q_kvar
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,0.0,1.0,1.0,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
