time_start,time_end,vehicle_id,state,status,from_node,to_node,current_edge,road_state,edge_entry_road_state,edge_entry_time_h,edge_planned_arrival_h,physical_progress_before_km,physical_progress_after_km,equivalent_progress_before_km,equivalent_progress_after_km,move_physical_before_km,move_physical_after_km,move_equivalent_before_km,move_equivalent_after_km,onboard_H2_before,onboard_H2_after,P_output,energy_served_kWh,accounting_interval,station_H2_before_1,station_H2_after_1,station_H2_before_2,station_H2_after_2,station_H2_before_3,station_H2_after_3,station_H2_before_4,station_H2_after_4,case,source_engine,HTT_cargo_H2_kg,P_HTT_kW,Q_HTT_kvar
0.0,0.325,1,MOVING,IN_TRANSIT,24,14,1,W0,W0,0.0,0.325,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-4,B3 Simulator,40.0,0.0,0.0
0.0,0.325,1,MOVING,IN_TRANSIT,24,14,1,W0,W0,0.0,0.325,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-6,B3 Simulator,80.0,0.0,0.0
0.325,0.5,1,MOVING,IN_TRANSIT,14,18,2,W0,W0,0.325,0.55,0.0,6.999999999999998,0.0,6.999999999999998,0.0,6.999999999999998,0.0,6.999999999999998,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-6,B3 Simulator,50.0,0.0,0.0
0.5,0.55,1,MOVING,IN_TRANSIT,14,18,2,W0,W0,0.325,0.55,6.999999999999998,9.0,6.999999999999998,9.0,6.999999999999998,9.0,6.999999999999998,9.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-6,B3 Simulator,50.0,0.0,0.0
0.0,0.25,1,MOVING,IN_TRANSIT,24,14,1,W0,W0,0.0,0.325,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-7,B3 Simulator,20.0,0.0,0.0
0.25,0.325,1,MOVING,IN_TRANSIT,24,14,1,W0,W0,0.0,0.325,10.0,13.0,10.0,13.0,10.0,13.0,10.0,13.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-7,B3 Simulator,20.0,0.0,0.0
0.0,0.25,2,MOVING,IN_TRANSIT,18,31,2,W0,W0,0.0,0.25,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-7,B3 Simulator,30.0,0.0,0.0
1.4,1.5,1,MOVING,IN_TRANSIT,24,1,1,W1,W1,1.4,1.7249999999999999,0.0,4.0000000000000036,0.0,4.0000000000000036,0.0,4.0000000000000036,0.0,4.0000000000000036,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-9,B3 Simulator,0.0,0.0,0.0
1.5,1.7249999999999999,1,MOVING,IN_TRANSIT,24,1,1,M12,W1,1.4,1.7249999999999999,4.0000000000000036,13.0,4.0000000000000036,13.0,4.0000000000000036,13.0,4.0000000000000036,13.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-9,B3 Simulator,0.0,0.0,0.0
1.7249999999999999,1.95,1,MOVING,IN_TRANSIT,1,14,2,M12,M12,1.7249999999999999,1.95,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-9,B3 Simulator,0.0,0.0,0.0
1.95,2.0,1,MOVING,IN_TRANSIT,14,24,3,M12,M12,1.95,2.175,0.0,2.0000000000000027,0.0,2.0000000000000027,9.0,11.000000000000004,9.0,11.000000000000004,0.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-9,B3 Simulator,0.0,0.0,0.0
2.0,2.175,1,MOVING,IN_TRANSIT,14,24,3,W2,M12,1.95,2.175,2.0000000000000027,9.0,2.0000000000000027,9.0,11.000000000000004,18.0,11.000000000000004,18.0,0.0,0.0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-9,B3 Simulator,0.0,0.0,0.0
0.0,0.5,1,MOVING,IN_TRANSIT,14,24,1,W0,W0,0.0,1.2166666666667,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-10,B3 Simulator,40.0,0.0,0.0
0.5,1.0,1,MOVING,IN_TRANSIT,14,24,1,W0,W0,0.0,1.2166666666667,20.0,40.0,20.0,40.0,20.0,40.0,20.0,40.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-10,B3 Simulator,40.0,0.0,0.0
1.0,1.2166666666667,1,MOVING,IN_TRANSIT,14,24,1,W1,W0,0.0,1.2166666666667,40.0,48.66666666666801,40.0,48.66666666666801,40.0,48.66666666666801,40.0,48.66666666666801,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-10,B3 Simulator,40.0,0.0,0.0
0.0,0.325,1,MOVING,IN_TRANSIT,24,1,1,W0,W0,0.0,0.325,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-12,B3 Simulator,10.0,0.0,0.0
0.0,0.325,1,MOVING,IN_TRANSIT,24,14,1,W0,W0,0.0,0.325,0.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-13,B3 Simulator,10.0,0.0,0.0
