case,time_h,vehicle_id,event,status,current_node,destination_node,route,edge_progress,departure_time,arrival_time,cargo_H2_kg,P_HTT_kW,Q_HTT_kvar
CASE-1,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,30.0,0.0,0.0
CASE-1,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-1,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-2,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,70.0,0.0,0.0
CASE-2,0.0,1,INITIAL,PARKED,24,,[],0.0,,,70.0,0.0,0.0
CASE-2,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-3,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,0.0,0.0,0.0
CASE-3,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-3,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-4,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,40.0,0.0,0.0
CASE-4,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-4,0.0,1,EDGE_ENTER,MOVING,,14,[1],0.0,0.0,0.325,40.0,0.0,0.0
CASE-4,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-4,0.325,1,EDGE_ARRIVAL,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-4,0.325,1,MOVE_COMPLETE,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-4,0.325,1,HTT_TO_STATION,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-5,0.0,1,HTT_TO_STATION,PARKED,14,,[],0.0,,0.0,50.0,0.0,0.0
CASE-5,0.0,1,INITIAL,PARKED,14,,[],0.0,,,80.0,0.0,0.0
CASE-5,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-6,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,80.0,0.0,0.0
CASE-6,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-6,0.0,1,EDGE_ENTER,MOVING,,14,[1],0.0,0.0,0.325,80.0,0.0,0.0
CASE-6,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-6,0.325,1,EDGE_ARRIVAL,PARKED,14,,[],0.0,,0.325,50.0,0.0,0.0
CASE-6,0.325,1,MOVE_COMPLETE,PARKED,14,,[],0.0,,0.325,50.0,0.0,0.0
CASE-6,0.325,1,HTT_TO_STATION,PARKED,14,,[],0.0,,0.325,50.0,0.0,0.0
CASE-6,0.325,1,EDGE_ENTER,MOVING,,18,[2],0.0,0.325,0.55,50.0,0.0,0.0
CASE-6,0.55,1,EDGE_ARRIVAL,PARKED,18,,[],0.0,,0.55,30.0,0.0,0.0
CASE-6,0.55,1,MOVE_COMPLETE,PARKED,18,,[],0.0,,0.55,30.0,0.0,0.0
CASE-6,0.55,1,HTT_TO_STATION,PARKED,18,,[],0.0,,0.55,30.0,0.0,0.0
CASE-7,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,20.0,0.0,0.0
CASE-7,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-7,0.0,1,EDGE_ENTER,MOVING,,14,[1],0.0,0.0,0.325,20.0,0.0,0.0
CASE-7,0.0,2,STATION_TO_HTT,PARKED,18,,[],0.0,,0.0,30.0,0.0,0.0
CASE-7,0.0,2,INITIAL,PARKED,18,,[],0.0,,,0.0,0.0,0.0
CASE-7,0.0,2,EDGE_ENTER,MOVING,,31,[2],0.0,0.0,0.25,30.0,0.0,0.0
CASE-7,0.25,2,EDGE_ARRIVAL,PARKED,31,,[],0.0,,0.25,0.0,0.0,0.0
CASE-7,0.25,2,MOVE_COMPLETE,PARKED,31,,[],0.0,,0.25,0.0,0.0,0.0
CASE-7,0.25,2,HTT_TO_STATION,PARKED,31,,[],0.0,,0.25,0.0,0.0,0.0
CASE-7,0.325,1,EDGE_ARRIVAL,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-7,0.325,1,MOVE_COMPLETE,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-7,0.325,1,HTT_TO_STATION,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
