case,initial_total_H2_kg,final_station_H2_kg,final_MFCV_onboard_H2_kg,final_HTT_cargo_H2_kg,fixed_FC_H2_use_kg,MFCV_H2_use_kg,identity_error_kg
CASE-1,100.0,70.0,0.0,30.0,0.0,0.0,0.0
CASE-2,170.0,100.0,0.0,70.0,0.0,0.0,0.0
CASE-3,15.0,15.0,0.0,0.0,0.0,0.0,0.0
CASE-4,40.0,40.0,0.0,0.0,0.0,0.0,0.0
CASE-5,80.0,30.0,0.0,50.0,0.0,0.0,0.0
CASE-6,80.0,50.0,0.0,30.0,0.0,0.0,0.0
CASE-7,50.0,50.0,0.0,0.0,0.0,0.0,0.0
CASE-8,100.0,100.0,0.0,0.0,0.0,0.0,0.0
CASE-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10,40.0,2.6326268990540953,0.0,0.0,37.367373100945905,0.0,0.0
CASE-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-12,10.0,0.0,0.0,10.0,0.0,0.0,0.0
CASE-13,10.0,4.0,6.0,0.0,0.0,0.0,0.0
CASE-14,223.9312153119796,138.65276019374053,28.0,0.0,57.27845511823909,0.0,-2.1316282072803006e-14
