action_id,batch_time_h,transfer_type,requested_kg,transferred_kg,status,reason,htt_id,mfcv_id,station_site,station_bus,station_H2_before_kg,station_H2_after_kg,HTT_cargo_before_kg,HTT_cargo_after_kg,MFCV_onboard_before_kg,MFCV_onboard_after_kg,system_H2_before_kg,system_H2_after_kg,system_H2_transfer_error_kg,case,batch_id
C1-LOAD,0.0,STATION_TO_HTT,30.0,30.0,TRANSFERRED,,1,,1,24,100.0,70.0,0.0,30.0,,,100.0,100.0,0.0,CASE-1,C1-T0
C2-LOAD,0.0,STATION_TO_HTT,20.0,0.0,INFEASIBLE_GIVEN_ACTION,HTT_CAPACITY_EXCEEDED,1,,1,24,100.0,100.0,70.0,70.0,,,170.0,170.0,0.0,CASE-2,C2-T0
C3-LOAD,0.0,STATION_TO_HTT,30.0,0.0,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,1,,1,24,15.0,15.0,0.0,0.0,,,15.0,15.0,0.0,CASE-3,C3-T0
C4-LOAD,0.0,STATION_TO_HTT,40.0,40.0,TRANSFERRED,,1,,1,24,40.0,0.0,0.0,40.0,,,40.0,40.0,0.0,CASE-4,C4-T0
C4-UNLOAD,0.325,HTT_TO_STATION,40.0,40.0,TRANSFERRED,,1,,2,14,0.0,40.0,40.0,0.0,,,40.0,40.0,0.0,CASE-4,C4-ARRIVAL
C5-UNLOAD,0.0,HTT_TO_STATION,30.0,30.0,TRANSFERRED,,1,,2,14,0.0,30.0,80.0,50.0,,,80.0,80.0,0.0,CASE-5,C5-T0
C6-LOAD,0.0,STATION_TO_HTT,80.0,80.0,TRANSFERRED,,1,,1,24,80.0,0.0,0.0,80.0,,,80.0,80.0,0.0,CASE-6,C6-T0
C6-UNLOAD-B,0.325,HTT_TO_STATION,30.0,30.0,TRANSFERRED,,1,,2,14,0.0,30.0,80.0,50.0,,,80.0,80.0,0.0,CASE-6,C6-STOP1
C6-UNLOAD-C,0.55,HTT_TO_STATION,20.0,20.0,TRANSFERRED,,1,,3,18,0.0,20.0,50.0,30.0,,,80.0,80.0,0.0,CASE-6,C6-STOP2
C7-LOAD-1,0.0,STATION_TO_HTT,20.0,20.0,TRANSFERRED,,1,,1,24,20.0,0.0,0.0,20.0,,,50.0,50.0,0.0,CASE-7,C7-T0
C7-LOAD-2,0.0,STATION_TO_HTT,30.0,30.0,TRANSFERRED,,2,,3,18,30.0,0.0,0.0,30.0,,,50.0,50.0,0.0,CASE-7,C7-T0
C7-UNLOAD-2,0.25,HTT_TO_STATION,30.0,30.0,TRANSFERRED,,2,,4,31,0.0,30.0,30.0,0.0,,,50.0,50.0,0.0,CASE-7,C7-A2
C7-UNLOAD-1,0.325,HTT_TO_STATION,20.0,20.0,TRANSFERRED,,1,,2,14,0.0,20.0,20.0,0.0,,,50.0,50.0,0.0,CASE-7,C7-A1
C8-LOAD-1,0.0,STATION_TO_HTT,70.0,0.0,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,1,,1,24,100.0,100.0,0.0,0.0,,,100.0,100.0,0.0,CASE-8,C8-T0
C8-LOAD-2,0.0,STATION_TO_HTT,60.0,0.0,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,2,,1,24,100.0,100.0,0.0,0.0,,,100.0,100.0,0.0,CASE-8,C8-T0
C10-LOAD,0.0,STATION_TO_HTT,40.0,40.0,TRANSFERRED,,1,,2,14,40.0,0.0,0.0,40.0,,,40.0,40.0,0.0,CASE-10,C10-T0
C10-UNLOAD,1.2166666666667,HTT_TO_STATION,40.0,40.0,TRANSFERRED,,1,,1,24,0.0,40.0,40.0,0.0,,,40.0,40.0,0.0,CASE-10,C10-ARRIVAL
C12-LOAD,0.0,STATION_TO_HTT,10.0,10.0,TRANSFERRED,,1,,1,24,10.0,0.0,0.0,10.0,,,10.0,10.0,0.0,CASE-12,C12-T0
C12-DIRECT,0.325,HTT_TO_MFCV,5.0,0.0,DISABLED_DIRECT_REFUEL,DIRECT_INTERFACE_RESERVED_FLAG_OFF,1,1,,,,,10.0,10.0,0.0,0.0,10.0,10.0,0.0,CASE-12,C12-ARRIVAL
C13-LOAD,0.0,STATION_TO_HTT,10.0,10.0,TRANSFERRED,,1,,1,24,10.0,0.0,0.0,10.0,,,10.0,10.0,0.0,CASE-13,C13-T0
C13-UNLOAD,0.325,HTT_TO_STATION,10.0,10.0,TRANSFERRED,,1,,2,14,0.0,10.0,10.0,0.0,,,10.0,10.0,0.0,CASE-13,C13-ARRIVAL
C13-MFCV-REFUEL,0.325,STATION_TO_MFCV,6.0,6.0,TRANSFERRED,,,1,2,14,10.0,4.0,,,0.0,6.0,10.0,10.0,0.0,CASE-13,C13-ARRIVAL
