site,electrical_bus,observed_bus_values,baseline_Pmax_kw,observed_max_P_EL_kw,electrolyzer_binding_fraction_all_real_hours,minimum_site_voltage_pu,site_voltage_at_floor_fraction,current_system_bus18_voltage_binding_hours,current_max_line_loading_pct_field,current_line_binding_fraction,GRID_HOSTING_SIGNAL_FOR_EXPANSION,INCREMENTAL_ELECTRICAL_HOSTING,HYDROGEN_SIDE_PHYSICAL_GAIN_IS_ELECTRICAL_HOSTING_CONFIRMED,rationale
1,24,[24],300,300,0.495372313633,0.968458702953,0,4046,0.826067831563,0,NOT_IDENTIFIABLE,INCREMENTAL_GRID_HOSTING_CAPACITY_NOT_IDENTIFIABLE_FROM_SAVED_OOS,NO,fixed-policy saved OOS does not identify incremental hosting headroom
2,14,[14],200,200,0.372275156705,0.906067125066,0,4046,0.826067831563,0,NOT_IDENTIFIABLE,INCREMENTAL_GRID_HOSTING_CAPACITY_NOT_IDENTIFIABLE_FROM_SAVED_OOS,NO,fixed-policy saved OOS does not identify incremental hosting headroom
3,18,[18],120,120,0.388082046116,0.9,0.0141523953436,4046,0.826067831563,0,POTENTIALLY_VOLTAGE_LIMITED,INCREMENTAL_GRID_HOSTING_CAPACITY_NOT_IDENTIFIABLE_FROM_SAVED_OOS,NO,"current OOS reaches the 0.90 pu floor at bus18, the mapped Site3 bus"
4,31,[31],150,150,0.514981391314,0.909983024066,0,4046,0.826067831563,0,NOT_IDENTIFIABLE,INCREMENTAL_GRID_HOSTING_CAPACITY_NOT_IDENTIFIABLE_FROM_SAVED_OOS,NO,fixed-policy saved OOS does not identify incremental hosting headroom
