a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,metric,M0_mean,mode_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
5,4,0,1,20260723,22760798,M1,Dtotal,341.05474183782,336.674167416741,-4.38057442107847,45.7334369800617,-153.015301530153,0,126.830864904672,-539.235741755994,532.689632599624,0.503
5,4,0,1,20260723,22760798,M1,fullLoss,0.0905,0.092,0.0015,0.0295,0,0,0,-1,1,0.0295
5,4,0,1,20260723,22760798,M1,A0Share,0.142176767676768,0.14636994949495,0.00419318181818182,0.0450871212121213,-0.176767676767677,0,0.186868686868687,-0.545454545454545,0.547979797979798,0.3925
5,4,0,1,20260723,22760798,M1,reachableShare,0.857823232323233,0.853630050505051,-0.00419318181818182,0.0450871212121213,-0.186868686868687,0,0.176767676767677,-0.547979797979798,0.545454545454545,0.3925
5,4,0,1,20260723,22760798,M1,CScenarioMean,21.3679207119931,21.4644905274186,0.0965698154254888,1.29982034763217,-3.48704621168011,0,4.10802465557104,-10.7834594034125,23.3972331766256,0.8575
5,4,0,1,20260723,22760798,M1,W3Failed,10.0335,10.038,0.0045,1.9515,-5,0,5,-11,11,0.707
5,4,0,1,20260723,22760798,M1,W3Closed,5.4405,5.569,0.1285,1.4875,-4,0,4,-9,10,0.581
5,4,0,1,20260723,22760798,M2L,Dtotal,341.05474183782,238.340970460682,-102.713771377138,102.713771377138,-336.306357908518,-72.007200720072,0,-607.969887897881,0,0.775
5,4,0,1,20260723,22760798,M2L,fullLoss,0.0905,0.036,-0.0545,0.0545,-1,0,0,-1,0,0.0545
5,4,0,1,20260723,22760798,M2L,A0Share,0.142176767676768,0.0627525252525253,-0.0794242424242425,0.0794242424242425,-0.333333333333333,-0.00505050505050506,0,-0.613636363636364,0,0.5015
5,4,0,1,20260723,22760798,M2L,reachableShare,0.857823232323233,0.937247474747475,0.0794242424242425,0.0794242424242425,0,0.00505050505050497,0.333333333333333,0,0.613636363636364,0.5015
5,4,0,1,20260723,22760798,M2L,CScenarioMean,21.3679207119931,20.3526880324999,-1.01523267949318,1.801428091089,-5.14990243216289,-0.732948094494414,2.93791886986061,-13.2056157407121,21.5071131188531,0.831
5,4,0,1,20260723,22760798,M2L,W3Failed,10.0335,6.2395,-3.794,3.794,-8,-4,0,-14,0,0.882
5,4,0,1,20260723,22760798,M2L,W3Closed,5.4405,2.8205,-2.62,2.62,-7,-2,0,-11,0,0.712
