a,grade_label,Vmax_M0_mps,traceable_lower_bound_mps,traceable_upper_bound_mps,bounded_interval_midpoint_mps,M1_fixed_value_mps,Vmax_M2L_mps,Vmax_M2H_mps,boundary_source,boundary_source_url,audit_note
1,below_tropical_storm,0,NaN,NaN,NaN,0,0,0,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,a1 retains project definition 0
2,tropical_storm,20.8,17.2,24.4,20.8,NaN,17.2,24.4,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,bounded grade sensitivity interval
3,severe_tropical_storm,28.55,24.5,32.6,28.55,NaN,24.5,32.6,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,bounded grade sensitivity interval
4,typhoon,37.05,32.7,41.4,37.05,NaN,32.7,41.4,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,bounded grade sensitivity interval
5,severe_typhoon,46.2,41.5,50.9,46.2,NaN,41.5,50.9,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,bounded grade sensitivity interval
6,super_typhoon,55.5,51,NaN,NaN,55.5,55.5,55.5,GB/T 19201-2006 Grade of tropical cyclones,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=016555C8A7A7F9EDDF96CE84A88EAFC6&refer=outter,a6 has no finite traceable upper bound and remains fixed at 55.5
