a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,N,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count,A_invalid_scenario_count,C_invalid_value_count
5,4,0,1,20260723,22760798,M0,2000,341.05474183782,607.969887897881,607.969887897881,0.0905,0.142176767676768,0.857823232323233,21.3679207119931,27.0707095053167,10.0335,21,5.4405,16,0.0905,0,607.969887897881,0,0,0,0
5,4,0,1,20260723,22760798,M1,2000,336.674167416741,607.969887897881,607.969887897881,0.092,0.14636994949495,0.853630050505051,21.4644905274186,27.9140381002966,10.038,23,5.569,17,0.092,0,607.969887897881,0,0,0,0
5,4,0,1,20260723,22760798,M2L,2000,238.340970460682,575.23934211603,607.969887897881,0.036,0.0627525252525253,0.937247474747475,20.3526880324999,25.1894468382709,6.2395,16,2.8205,10,0.036,0,607.969887897881,0,0,0,0
5,4,0,1,20260723,22760798,M2H,2000,428.514442353326,607.969887897881,607.969887897881,0.1565,0.255127525252525,0.744872474747475,22.7482916032078,30.1200379347301,14.3455,27,8.977,21,0.1565,0,607.969887897881,0,0,0,0
2,6,0,1,20260723,20860741,M0,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0,0,0
2,6,0,1,20260723,20860741,M1,2000,0.728800152742547,0,0,0,0.000319444444444444,0.999680555555556,19.0161972597059,19.0137618887991,0.028,0,0.016,0,0,0,394.403076671303,0,0,0,0
2,6,0,1,20260723,20860741,M2L,2000,0.335897226086245,0,0,0,4.04040404040404e-05,0.999959595959596,19.0172096577537,19.0137618887991,0.0115,0,0.006,0,0,0,394.403076671303,0,0,0,0
2,6,0,1,20260723,20860741,M2H,2000,1.59738701142842,0,29.4574912036658,0,0.000503787878787879,0.999496212121212,19.018450713666,19.0137618887991,0.057,0,0.029,0,0,0,394.403076671303,0,0,0,0
2,1,0,1,20260723,20360726,M0,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,0,498.32255952868,0,0,0,0
2,1,0,1,20260723,20360726,M1,2000,2.98257098437116,0,131.74044677195,0,0.000258838383838384,0.999741161616162,19.0278726809805,19.0137618887991,0.094,0,0.027,0,0,0,405.313258598587,0,0,0,0
2,1,0,1,20260723,20360726,M2L,2000,1.12743092491067,0,9.81916373455527,0,0.00011489898989899,0.999885101010101,19.0156787804287,19.0137618887991,0.038,0,0.0095,0,0,0,298.66623025939,0,0,0,0
2,1,0,1,20260723,20360726,M2H,2000,5.45209066361182,0,202.656629299294,0,0.000806818181818182,0.999193181818182,19.0436281161803,19.0137618887991,0.1675,0,0.066,0,0,0,498.32255952868,0,0,0,0
4,4,0,1,20260723,22060777,M0,2000,160.944821754903,486.866868505032,607.969887897881,0.0155,0.0416300505050505,0.95836994949495,19.905971753735,23.2312280000968,4.5265,16,1.952,10,0.0155,0,607.969887897881,0,0,0,0
4,4,0,1,20260723,22060777,M1,2000,164.823936939148,526.143523443253,607.969887897881,0.019,0.0461060606060606,0.95389393939394,19.911993674308,24.0161993490564,4.606,17,2.0815,10,0.019,0,607.969887897881,0,0,0,0
4,4,0,1,20260723,22060777,M2L,2000,95.522870468865,405.313258598587,542.508796334179,0.006,0.0160113636363636,0.983988636363636,19.3630386445885,21.0793719498982,2.3595,11,0.79,5,0.006,0,607.969887897881,0,0,0,0
4,4,0,1,20260723,22060777,M2H,2000,256.882006382456,597.605215066961,607.969887897881,0.046,0.0911477272727273,0.908852272727273,20.5982894413487,26.033097684804,7.4385,23,3.794,15,0.046,0,607.969887897881,0,0,0,0
6,7,0,1,20260723,23760828,M0,2000,257.574121048468,607.969887897881,607.969887897881,0.0565,0.106661616161616,0.893338383838384,20.839743423667,27.4475286337876,7.571,21,3.919,16,0.0565,0,607.969887897881,0,0,0,0
6,7,0,1,20260723,23760828,M1,2000,259.269017810872,607.969887897881,607.969887897881,0.061,0.108888888888889,0.891111111111111,20.9226629610072,27.8890590640409,7.709,22,4.0675,16,0.061,0,607.969887897881,0,0,0,0
6,7,0,1,20260723,23760828,M2L,2000,202.661675258435,607.969887897881,607.969887897881,0.0515,0.0723699494949495,0.927630050505051,20.5038603551024,26.7940145441365,5.562,18,2.6565,11,0.0515,0,607.969887897881,0,0,0,0
6,7,0,1,20260723,23760828,M2H,2000,327.061206120612,607.969887897881,607.969887897881,0.084,0.157205808080808,0.842794191919192,21.2816623377723,28.3265777787008,10.396,26,5.8535,20,0.084,0,607.969887897881,0,0,0,0
5,4,0,2,20260724,22760799,M0,2000,343.715053323514,607.969887897881,607.969887897881,0.097,0.151020202020202,0.848979797979799,21.5055367728178,27.885752600134,10.206,22,5.7575,15,0.097,0,607.969887897881,0,0,0,0
5,4,0,2,20260724,22760799,M1,2000,341.282628262826,607.969887897881,607.969887897881,0.098,0.153680555555556,0.846319444444445,21.5582185457634,28.1341759416439,10.327,24,5.923,17,0.098,0,607.969887897881,0,0,0,0
