state_id,intensity,loc,TerminalLOH_total_kg_SAA,TerminalLOH_total_kg_DRO,delta_TerminalLOH_total_kg,delta_pct_TerminalLOH_total_kg
9,3,2,24.54790933638818,140.4681795250113,115.9202701886231,472.22054065838773
11,3,4,39.27665493822109,142.9135556154492,103.63690067722811,263.86386732841765
8,3,1,11.455691023647818,99.23841554469888,87.78272452105107,766.2804831226894
20,4,6,65.46109156370181,151.78834986028312,86.3272582965813,131.87567795531504
10,3,3,38.458391293674815,121.37585471998354,82.91746342630873,215.60304692189771
28,5,7,51.82336415459727,124.78930396344587,72.9659398088486,140.7973816427272
19,4,5,189.5644109865532,260.3441354869344,70.7797245003812,37.33808689722987
35,6,7,225.70438862068025,289.1199373292575,63.415548708577234,28.096728245348245
15,4,1,275.4820936639118,331.6752616572734,56.193167993361556,20.39811998159025
18,4,4,312.16758039440305,367.4029865722864,55.23540617788336,17.694152002618942
